Refactoring Type	Source Method	Target Class
Move Method	net.java.sip.communicator.service.protocol.media.AbstractOperationSetTelephonyConferencing::notifyAll(Call):void	net.java.sip.communicator.service.protocol.Call
Move Method	net.java.sip.communicator.impl.gui.main.call.CallManager.IncomingCallHandler::incomingCallReceivedInEventDispatchThread(CallEvent):void	net.java.sip.communicator.service.protocol.event.CallEvent
Move Method	net.java.sip.communicator.plugin.desktoputil.presence.avatar.imagepicker.ImagePickerDialog::showDialog(Image):byte[]	net.java.sip.communicator.plugin.desktoputil.presence.avatar.imagepicker.EditPanel
Move Method	net.java.sip.communicator.impl.protocol.jabber.OperationSetPersistentPresenceJabberImpl::updateContactStatus(ContactJabberImpl, PresenceStatus):void	net.java.sip.communicator.impl.protocol.jabber.MobileIndicator
Move Method	net.java.sip.communicator.service.protocol.media.MediaHandler::registerDynamicPTsWithStream(CallPeerMediaHandler<?>, MediaStream):void	net.java.sip.communicator.service.protocol.media.CallPeerMediaHandler
Move Method	net.java.sip.communicator.slick.msghistory.TestMsgHistoryService::writeRecords():void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.impl.protocol.sip.OperationSetJitsiMeetToolsSipImpl::notifyJoinJitsiMeetRoom(Call, String, String):void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.impl.gui.main.contactlist.TreeContactList::startSelectedContactChat():void	net.java.sip.communicator.impl.gui.main.contactlist.CallHistoryFilter
Move Method	net.java.sip.communicator.impl.protocol.sip.security.SipSecurityManager::cacheCredentials(String, UserCredentials):void	net.java.sip.communicator.impl.protocol.sip.security.CredentialsCache
Move Method	net.java.sip.communicator.impl.protocol.sip.ProtocolProviderServiceSipImpl::getRegistrarTransport():String	net.java.sip.communicator.service.protocol.AccountID
Move Method	net.java.sip.communicator.impl.callhistory.CallHistoryServiceImpl::start(BundleContext):void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.plugin.jabberaccregwizz.JabberAccountRegistrationForm::getSimpleForm():Component	net.java.sip.communicator.plugin.jabberaccregwizz.AccountPanel
Move Method	net.java.sip.communicator.impl.protocol.sip.OperationSetMessageWaitingSipImpl::getSubscribeAddress():Address	net.java.sip.communicator.impl.protocol.sip.ProtocolProviderServiceSipImpl
Move Method	net.java.sip.communicator.plugin.whiteboard.gui.WhiteboardFrame::sendShape(WhiteboardShape):void	net.java.sip.communicator.plugin.whiteboard.WhiteboardSessionManager
Move Method	net.java.sip.communicator.plugin.whiteboard.gui.WhiteboardFrame::createWhiteboardShape(WhiteboardObject):WhiteboardShape	net.java.sip.communicator.plugin.whiteboard.WhiteboardSessionManager
Move Method	net.java.sip.communicator.impl.protocol.jabber.InfoRetreiver::retrieveDetails(String):List<GenericDetail>	net.java.sip.communicator.impl.protocol.jabber.ProtocolProviderServiceJabberImpl
