Refactoring Type	Source Method	Target Class
Move Method	org.killbill.billing.subscription.api.user.DefaultSubscriptionBaseApiService::validateEffectiveDate(DefaultSubscriptionBase, DateTime):void	org.killbill.billing.subscription.api.user.DefaultSubscriptionBase
Move Method	org.killbill.billing.subscription.engine.dao.DefaultSubscriptionDao::unactivateEventFromTransaction(SubscriptionEventModelDao, EntitySqlDaoWrapperFactory, InternalCallContext):void	org.killbill.billing.subscription.engine.dao.model.SubscriptionEventModelDao
Move Method	org.killbill.billing.subscription.engine.dao.DefaultSubscriptionDao::mergeDryRunEvents(UUID, List<SubscriptionBaseEvent>, List<SubscriptionBaseEvent>):void	org.killbill.billing.subscription.engine.addon.AddonUtils
Move Method	org.killbill.billing.subscription.api.svcs.DefaultSubscriptionInternalApi::countCurrentAddOnsWithSamePlanName(Iterable<EntitlementSpecifier>, Catalog, String, DateTime, CallContext):int	org.killbill.billing.subscription.engine.addon.AddonUtils
Move Method	org.killbill.billing.subscription.api.SubscriptionApiBase::createSubscriptionForApiUse(SubscriptionBuilder, List<SubscriptionBaseEvent>, InternalTenantContext):DefaultSubscriptionBase	org.killbill.billing.subscription.api.user.SubscriptionBuilder
Move Method	org.killbill.billing.subscription.engine.core.DefaultSubscriptionBaseService::onBasePlanEvent(DefaultSubscriptionBase, SubscriptionBaseEvent, CallContext):boolean	org.killbill.billing.subscription.api.user.DefaultSubscriptionBase
Move Method	org.killbill.billing.subscription.api.user.TestSubscriptionHelper::checkNextPhaseChange(DefaultSubscriptionBase, int, DateTime):void	org.killbill.billing.subscription.api.user.DefaultSubscriptionBase
Move Method	org.killbill.billing.subscription.engine.dao.DefaultSubscriptionDao::buildBundleSubscriptions(List<SubscriptionBase>, Multimap<UUID,SubscriptionBaseEvent>, List<SubscriptionBaseEvent>, InternalTenantContext):List<SubscriptionBase>	org.killbill.billing.subscription.engine.addon.AddonUtils
Move Method	org.killbill.billing.subscription.api.svcs.DefaultSubscriptionInternalApi::populateDryRunEvents(UUID, DryRunArguments, List<SubscriptionBaseEvent>, List<SubscriptionBase>, InternalTenantContext):void	org.killbill.billing.subscription.engine.addon.AddonUtils
Move Method	org.killbill.billing.subscription.engine.dao.DefaultSubscriptionDao::createSubscriptionForInternalUse(SubscriptionBase, List<SubscriptionBaseEvent>, InternalTenantContext):DefaultSubscriptionBase	org.killbill.billing.subscription.engine.addon.AddonUtils
Move Method	org.killbill.billing.subscription.api.svcs.DefaultSubscriptionInternalApi::getBundleStartDateWithSanity(UUID, DefaultSubscriptionBase, Plan, DateTime, InternalTenantContext):DateTime	org.killbill.billing.subscription.engine.addon.AddonUtils
Move Method	org.killbill.billing.subscription.api.transfer.TestDefaultSubscriptionTransferApi::testEventsForCancelledSubscriptionAfterTransfer():void	org.killbill.billing.subscription.api.transfer.DefaultSubscriptionBaseTransferApi
