Refactoring Type	Source Method	Target Class
Move Method	org.killbill.billing.util.entity.dao.DefaultPaginationSqlDaoHelper::getPagination(Class<? extends EntitySqlDao<M,E>>, PaginationIteratorBuilder<M,E,S>, Long, Long, InternalTenantContext):Pagination<M>	org.killbill.billing.util.entity.dao.EntitySqlDaoTransactionalJdbiWrapper
Move Method	org.killbill.billing.util.entity.dao.EntitySqlDaoWrapperInvocationHandler::insertAudits(TableName, Long, Long, ChangeType, InternalCallContext):void	org.killbill.billing.util.cache.CacheControllerDispatcher
Move Method	org.killbill.billing.util.validation.TestValidationManager::testRetrievingColumnInfo():void	org.killbill.billing.util.validation.ValidationManager
Move Method	org.killbill.billing.util.config.tenant.MultiTenantConfigBase::getCachedValue(Config, InternalTenantContext):String	org.killbill.billing.util.config.tenant.CacheConfig
Move Method	org.killbill.billing.util.config.tenant.CacheConfig::initializeCacheLoaderArgument():CacheLoaderArgument	org.killbill.billing.util.cache.CacheLoaderArgument
Move Method	org.killbill.billing.util.cache.TestCache::retrieveRecordIdFromCache(UUID):Long	org.killbill.billing.util.cache.CacheControllerDispatcher
Move Method	org.killbill.billing.util.broadcast.TestBroadcastService::testBasic():void	org.killbill.billing.api.TestApiListener
Move Method	org.killbill.billing.util.nodes.DefaultKillbillNodesService::createBootNodeInfo(boolean):void	org.killbill.billing.util.nodes.NodeInfoMapper
Move Method	org.killbill.billing.util.export.dao.TestDatabaseExportDao::getDump():String	org.killbill.billing.util.export.dao.DatabaseExportDao
Move Method	org.killbill.billing.util.tag.dao.TestDefaultTagDefinitionDao::testCatchEventsOnCreateAndDelete():void	org.killbill.billing.api.TestApiListener
Move Method	org.killbill.billing.util.dao.TestStringTemplateInheritanceWithJdbi::testInheritQueries():void	org.killbill.billing.callcontext.MutableInternalCallContext
