Refactoring Type	Source Method	Target Class
Move Method	com.facebook.presto.sql.planner.sanity.TypeValidator.Visitor::verifyTypeSignature(Symbol, TypeSignature, TypeSignature):void	com.facebook.presto.sql.planner.Symbol
Move Method	com.facebook.presto.sql.analyzer.Scope::asResolvedField(Field, boolean):ResolvedField	com.facebook.presto.sql.analyzer.RelationType
Move Method	com.facebook.presto.sql.planner.plan.TestWindowNode::testSerializationRoundtrip():void	com.facebook.presto.sql.planner.SymbolAllocator
Move Method	com.facebook.presto.sql.planner.LocalExecutionPlanner.Visitor::mapIndexSourceLookupSymbolToProbeKeyInput(IndexJoinNode, Map<Symbol,Integer>):SetMultimap<Symbol,Integer>	com.facebook.presto.sql.planner.plan.IndexJoinNode
Move Method	com.facebook.presto.sql.planner.optimizations.ImplementIntersectAndExceptAsUnion.Rewriter::appendMarkers(PlanNode, int, List<Symbol>, Map<Symbol,SymbolReference>):PlanNode	com.facebook.presto.sql.planner.SymbolAllocator
Move Method	com.facebook.presto.sql.planner.SystemPartitioningHandle::getNodePartitionMap(Session, NodeScheduler):NodePartitionMap	com.facebook.presto.execution.scheduler.NodeScheduler
Move Method	com.facebook.presto.sql.gen.ExpressionCompiler::compileProcessorextends T> (RowExpression, List<RowExpression>, BodyCompiler<T>, Class<? extends T>):Class<?	com.facebook.presto.sql.gen.BodyCompiler
Move Method	com.facebook.presto.sql.planner.DomainTranslator.Visitor::getSaturatedFloorCastOperator(Type, Type):Optional<Signature>	com.facebook.presto.sql.FunctionInvoker
Move Method	com.facebook.presto.sql.gen.InCodeGenerator::buildInCase(BytecodeGeneratorContext, Scope, Type, LabelNode, LabelNode, LabelNode, Collection<BytecodeNode>, boolean):BytecodeBlock	com.facebook.presto.sql.gen.BytecodeGeneratorContext
Move Method	com.facebook.presto.testing.LocalQueryRunner::createCatalog(String, ConnectorFactory, Map<String,String>):void	com.facebook.presto.connector.ConnectorManager
Move Method	com.facebook.presto.execution.scheduler.AllAtOnceExecutionSchedule.Visitor::processFragment(PlanFragmentId):void	com.facebook.presto.sql.planner.plan.PlanFragmentId
Move Method	com.facebook.presto.event.query.QueryMonitor::splitFailedEvent(TaskId, DriverStats, Throwable):void	com.facebook.presto.execution.TaskId
Move Method	com.facebook.presto.testing.LocalQueryRunner::createTableScanOperator(Session, int, PlanNodeId, String, String[]):OperatorFactory	com.facebook.presto.metadata.MetadataManager
