Refactoring Type	Source Method	Target Class
Move Method	org.drools.compiler.builder.impl.KnowledgeBuilderImpl::preCompileAddFunction(FunctionDescr, PackageRegistry):void	org.drools.compiler.compiler.PackageRegistry
Move Method	org.drools.compiler.lang.descr.RuleDescr::lookAheadFieldsOfIdentifier(PatternDescr):Collection<String>	org.drools.compiler.lang.descr.AndDescr
Move Method	org.drools.compiler.rule.builder.QueryElementBuilder::getParserContext(RuleBuildContext):ParserContext	org.drools.compiler.rule.builder.RuleBuildContext
Move Method	org.drools.compiler.lang.DRL5Parser::speculateFullAnnotation():boolean	org.drools.compiler.lang.DRL5Expressions
Move Method	org.drools.compiler.builder.impl.KnowledgeBuilderImpl::addFunction(FunctionDescr, PackageRegistry):void	org.drools.compiler.compiler.PackageRegistry
Move Method	org.drools.compiler.builder.impl.KnowledgeBuilderImpl::buildRuleBuilderContext(PackageRegistry, RuleDescr):RuleBuildContext	org.drools.compiler.compiler.PackageRegistry
Move Method	org.drools.compiler.rule.builder.PatternBuilder::buildQueryElement(RuleBuildContext, BaseDescr, QueryImpl):RuleConditionElement	org.drools.compiler.rule.builder.RuleBuildContext
Move Method	org.drools.compiler.builder.impl.KnowledgeBuilderImpl::loadAccumulateFunction(PackageRegistry, String, String):AccumulateFunction	org.drools.compiler.compiler.PackageRegistry
Move Method	org.drools.compiler.lang.DRL5Parser::speculatePositionalConstraints():boolean	org.drools.compiler.lang.DRL5Expressions
Move Method	org.drools.compiler.lang.DRL6StrictParser::failMismatchedTokenException():void	org.drools.compiler.lang.DRL6Expressions
Move Method	org.drools.compiler.rule.builder.dialect.mvel.MVELDialect::analyzeExpression(PackageBuildContext, BaseDescr, Object, BoundIdentifiers, Map<String,Class<?>>):AnalysisResult	org.drools.compiler.rule.builder.dialect.mvel.MVELReturnValueBuilder
Move Method	org.drools.compiler.builder.impl.KnowledgeBuilderImpl::manageUnresolvedExtension(RuleDescr, Collection<RuleDescr>):void	org.drools.compiler.lang.descr.RuleDescr
Move Method	org.drools.compiler.lang.DRL6Parser::failMismatchedTokenException():void	org.drools.compiler.lang.DRL6Expressions
Move Method	org.drools.compiler.builder.impl.KnowledgeBuilderImpl::addPackageForExternalType(Resource, ResourceType, ResourceConfiguration):void	org.drools.compiler.compiler.ProcessBuilder
Move Method	org.drools.compiler.integrationtests.incrementalcompilation.TestContext::executeTestOperation(TestOperation):void	org.drools.compiler.integrationtests.incrementalcompilation.TestOperation
Move Method	org.drools.compiler.compiler.ProjectJavaCompiler::compileAll(ProjectClassLoader, List<String>, MemoryResourceReader):List<KnowledgeBuilderResult>	org.drools.compiler.commons.jci.readers.MemoryResourceReader
Move Method	org.drools.compiler.kie.builder.impl.KieBuilderSetImpl::addResource(CompositeKnowledgeBuilder, KieBaseModel, InternalKieModule, String):boolean	org.drools.compiler.kie.builder.impl.KieBuilderImpl
Move Method	org.drools.compiler.rule.builder.dialect.mvel.MVELDialect::getMVELCompilationUnit(String, AnalysisResult, Declaration[], Declaration[], Map<String,Class<?>>, PackageBuildContext, String, Class, boolean, MVELCompilationUnit.Scope):MVELCompilationUnit	org.drools.compiler.rule.builder.dialect.mvel.MVELReturnValueBuilder
