Refactoring Type	Source Method	Target Class
Move Method	org.drools.core.rule.FieldConstraintTest::setUp():void	org.drools.core.base.ClassFieldAccessorStore
Move Method	org.drools.core.xml.ExtensibleXmlParser::getHandler(String, String):Handler	org.drools.core.xml.SemanticModules
Move Method	org.drools.core.common.NamedEntryPoint::deleteStated(RuleImpl, TerminalNode, InternalFactHandle, EqualityKey):void	org.drools.core.common.PropagationContextFactory
Move Method	org.drools.core.reteoo.AccumulateNode::addAccFunctionDeclarationsToLeftMask(InternalKnowledgeBase, LeftTupleSource, Accumulate):void	org.drools.core.reteoo.LeftTupleSource
Move Method	org.drools.core.reteoo.LeftInputAdapterNode::processDeletesFromModify(ModifyPreviousTuples, PropagationContext, InternalWorkingMemory, Id):LeftTuple	org.drools.core.reteoo.ModifyPreviousTuples
Move Method	org.drools.core.base.ClassFieldAccessorStore::getWiringResults(Class, String):Collection<KnowledgeBuilderResult>	org.drools.core.base.ClassFieldAccessorCache
Move Method	org.drools.core.reteoo.LeftTupleSource::getObjectTypeForPropertyReactivity(LeftInputAdapterNode, Pattern):ObjectType	org.drools.core.rule.Pattern
Move Method	org.drools.core.reteoo.RuleTerminalNodeLeftTuple::init(long, int, PropagationContext, RuleAgendaItem, InternalAgendaGroup):void	org.drools.core.phreak.RuleAgendaItem
Move Method	org.drools.core.impl.StatefulKnowledgeSessionImpl::internalGetQueryResult(boolean, String, Object[]):QueryResultsImpl	org.drools.core.common.PropagationContextFactory
Move Method	org.drools.core.impl.StatefulKnowledgeSessionImpl::evalQuery(String, DroolsQuery, InternalFactHandle, PropagationContext, boolean):BaseNode[]	org.drools.core.common.PropagationContextFactory
Move Method	org.drools.core.rule.constraint.MvelConstraint::getFirstInvokedPropertyName(Expression):String	org.drools.core.rule.Declaration
Move Method	org.drools.core.util.debug.SessionInspector::getSessionInfo():StatefulKnowledgeSessionInfo	org.drools.core.impl.StatefulKnowledgeSessionImpl
Move Method	org.drools.core.reteoo.RuleTerminalNode::cancelMatch(AgendaItem, InternalWorkingMemoryActions):void	org.drools.core.common.AgendaItem
Move Method	org.drools.core.factmodel.traits.TraitFieldTMSImpl::getKlass(Class):TypeWrapper	org.drools.core.factmodel.traits.TypeCache
Move Method	org.drools.core.factmodel.traits.AbstractProxyClassBuilderImpl::getPossibleConstructor(Class<?>, Class<?>):Class	org.drools.core.factmodel.ClassDefinition
