Refactoring Type	Source Method	Target Class
Move Method	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.HTMLFieldPersistenceProvider::canHandleExtraction(ExtractValueRequest, Property):boolean	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.request.ExtractValueRequest
Move Method	org.broadleafcommerce.openadmin.server.dao.provider.metadata.AbstractFieldMetadataProvider::buildFieldInfo(Field):FieldInfo	org.broadleafcommerce.openadmin.server.dao.provider.metadata.BroadleafEnumerationUtility
Move Method	org.broadleafcommerce.openadmin.server.dao.DynamicEntityDaoImpl::createClassTreeFromAnnotation(Class<?>, ClassTree):void	org.broadleafcommerce.openadmin.dto.ClassTree
Move Method	org.broadleafcommerce.openadmin.server.dao.provider.metadata.AbstractFieldMetadataProvider::setupBroadleafEnumeration(String, BasicFieldMetadata, DynamicEntityDao):void	org.broadleafcommerce.openadmin.server.dao.provider.metadata.BroadleafEnumerationUtility
Move Method	org.broadleafcommerce.openadmin.server.dao.provider.metadata.MapFieldsFieldMetadataProvider::canHandleFieldForTypeMetadata(AddMetadataFromFieldTypeRequest, Map<String,FieldMetadata>):boolean	org.broadleafcommerce.openadmin.server.dao.provider.metadata.request.AddMetadataFromFieldTypeRequest
Move Method	org.broadleafcommerce.openadmin.server.dao.provider.metadata.AbstractFieldMetadataProvider::setClassOwnership(Class<?>, Class<?>, Map<String,FieldMetadata>, FieldInfo):void	org.broadleafcommerce.openadmin.server.dao.FieldInfo
Move Method	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.MapFieldPersistenceProvider::getStartingValueType(PopulateValueRequest):Class<?>	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.request.PopulateValueRequest
Move Method	org.broadleafcommerce.openadmin.server.security.handler.AdminPermissionCustomPersistenceHandler::checkPermissionName(PersistencePackage):Entity	org.broadleafcommerce.openadmin.dto.PersistencePackage
Move Method	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.MediaFieldPersistenceProvider::canHandleExtraction(ExtractValueRequest, Property):boolean	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.request.ExtractValueRequest
Move Method	org.broadleafcommerce.openadmin.server.service.persistence.module.BasicPersistenceModule::getMapFieldType(Serializable, FieldManager, Property):Class<?>	org.broadleafcommerce.openadmin.server.service.persistence.module.FieldManager
Move Method	org.broadleafcommerce.openadmin.web.controller.AdminTranslationController::getTranslationForm(EntityForm):TranslationForm	org.broadleafcommerce.openadmin.web.form.entity.EntityForm
Move Method	org.broadleafcommerce.openadmin.web.service.FormBuilderServiceImpl::createHeaderField(Property, BasicFieldMetadata):Field	org.broadleafcommerce.openadmin.dto.Property
Move Method	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.MediaFieldPersistenceProvider::canHandlePersistence(PopulateValueRequest, Serializable):boolean	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.request.PopulateValueRequest
Move Method	org.broadleafcommerce.openadmin.web.controller.AdminAbstractController::getCollectionListGrid(ClassMetadata, Entity, Property, MultiValueMap<String,String>, String, List<SectionCrumb>):ListGrid	org.broadleafcommerce.openadmin.dto.Entity
Move Method	org.broadleafcommerce.openadmin.server.service.persistence.module.AdornedTargetListPersistenceModule::getBasicFilterMappings(PersistencePerspective, CriteriaTransferObject, Map<String,FieldMetadata>, String):List<FilterMapping>	org.broadleafcommerce.openadmin.dto.CriteriaTransferObject
Move Method	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.FieldPersistenceProviderAdapter::setNonDisplayableValues(PopulateValueRequest):void	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.request.PopulateValueRequest
Move Method	org.broadleafcommerce.openadmin.web.controller.AdminAbstractController::getBlankDynamicFieldTemplateForm(DynamicEntityFormInfo):EntityForm	org.broadleafcommerce.openadmin.web.form.entity.DynamicEntityFormInfo
Move Method	org.broadleafcommerce.openadmin.server.dao.DynamicEntityDaoImpl::buildProperties(Class<?>, ForeignKey, ForeignKey[], String[], MergedPropertyType, Map<String,FieldMetadata>, List<Property>, Map<String,FieldMetadata>, List<String>, List<Type>, String, Boolean, String[], String[], String, String, List<Class<?>>, String, Boolean, Boolean):void	org.broadleafcommerce.openadmin.server.dao.Metadata
Move Method	org.broadleafcommerce.openadmin.web.controller.entity.AdminBasicEntityController::populateJsonValidationErrors(EntityForm, BindingResult, JsonResponse):JsonResponse	org.broadleafcommerce.openadmin.web.form.entity.EntityForm
Move Method	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.BasicFieldPersistenceProvider::canHandleExtraction(ExtractValueRequest, Property):boolean	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.request.ExtractValueRequest
Move Method	org.broadleafcommerce.openadmin.web.controller.entity.AdminBasicEntityController::isAddActionAllowed(String, ClassMetadata):boolean	org.broadleafcommerce.openadmin.dto.ClassMetadata
Move Method	org.broadleafcommerce.openadmin.server.dao.provider.metadata.DefaultFieldMetadataProvider::overrideExclusionsFromXml(OverrideViaXmlRequest, Map<String,FieldMetadata>):void	org.broadleafcommerce.openadmin.server.dao.provider.metadata.request.OverrideViaXmlRequest
Move Method	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.HTMLFieldPersistenceProvider::canHandlePersistence(PopulateValueRequest, Serializable):boolean	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.request.PopulateValueRequest
Move Method	org.broadleafcommerce.openadmin.server.dao.provider.metadata.AdornedTargetCollectionFieldMetadataProvider::canHandleFieldForConfiguredMetadata(AddMetadataRequest, Map<String,FieldMetadata>):boolean	org.broadleafcommerce.openadmin.server.dao.provider.metadata.request.AddMetadataRequest
