com_intellij_FileSetTestCase$ActualTest.java/[CN]/	com_intellij_testFramework_LightPlatformTestCase.java/[CN]/
com_intellij_application_options_TabbedLanguageCodeStylePanel$MySpacesPanel.java/[CN]/	com_intellij_application_options_codeStyle_CodeStyleSpacesPanel.java/[CN]/
com_intellij_application_options_TabbedLanguageCodeStylePanel$MyWrappingAndBracesPanel.java/[CN]/	com_intellij_application_options_codeStyle_WrappingAndBracesPanel.java/[CN]/
com_intellij_application_options_XmlAutoImportOptionsProvider.java/[CN]/	com_intellij_application_options_editor_AutoImportOptionsProvider.java/[CN]/
com_intellij_application_options_XmlCodeStyleMainPanel.java/[CN]/	com_intellij_application_options_TabbedLanguageCodeStylePanel.java/[CN]/
com_intellij_application_options_XmlCodeStyleSettingsProvider$1.java/[CN]/	com_intellij_application_options_CodeStyleAbstractConfigurable.java/[CN]/
com_intellij_application_options_codeStyle_CodeStyleBlankLinesPanel.java/[CN]/	com_intellij_application_options_codeStyle_CustomizableLanguageCodeStylePanel.java/[CN]/
com_intellij_application_options_codeStyle_CodeStyleMainPanel.java/[CN]/	com_intellij_application_options_TabbedLanguageCodeStylePanel$TabChangeListener.java/[CN]/
com_intellij_application_options_codeStyle_CodeStyleMainPanel$2.java/[CN]/	com_intellij_application_options_codeStyle_CodeStyleSettingsListener.java/[CN]/
com_intellij_application_options_codeStyle_CodeStyleSpacesPanel.java/[CN]/	com_intellij_application_options_codeStyle_OptionTreeWithPreviewPanel.java/[CN]/
com_intellij_application_options_codeStyle_CustomizableLanguageCodeStylePanel.java/[CN]/	com_intellij_application_options_CodeStyleAbstractPanel.java/[CN]/
com_intellij_application_options_codeStyle_ManageCodeStyleSchemesDialog$1.java/[CN]/	com_intellij_application_options_SchemesToImportPopup.java/[CN]/
com_intellij_application_options_codeStyle_NewCodeStyleSettingsPanel.java/[CN]/	com_intellij_application_options_TabbedLanguageCodeStylePanel$TabChangeListener.java/[CN]/
com_intellij_application_options_codeStyle_OptionTableWithPreviewPanel.java/[CN]/	com_intellij_application_options_codeStyle_CustomizableLanguageCodeStylePanel.java/[CN]/
com_intellij_application_options_codeStyle_OptionTableWithPreviewPanel$BooleanOption.java/[CN]/	com_intellij_application_options_codeStyle_OptionTableWithPreviewPanel$Option.java/[CN]/
com_intellij_application_options_codeStyle_OptionTableWithPreviewPanel$IntOption.java/[CN]/	com_intellij_application_options_codeStyle_OptionTableWithPreviewPanel$Option.java/[CN]/
com_intellij_application_options_codeStyle_OptionTableWithPreviewPanel$Option.java/[CN]/	com_intellij_application_options_codeStyle_CustomizableLanguageCodeStylePanel$OrderedOption.java/[CN]/
com_intellij_application_options_codeStyle_OptionTableWithPreviewPanel$SelectionOption.java/[CN]/	com_intellij_application_options_codeStyle_OptionTableWithPreviewPanel$Option.java/[CN]/
com_intellij_application_options_codeStyle_OptionTreeWithPreviewPanel.java/[CN]/	com_intellij_application_options_codeStyle_CustomizableLanguageCodeStylePanel.java/[CN]/
com_intellij_application_options_codeStyle_OptionTreeWithPreviewPanel$BooleanOptionKey.java/[CN]/	com_intellij_application_options_codeStyle_CustomizableLanguageCodeStylePanel$OrderedOption.java/[CN]/
com_intellij_application_options_codeStyle_OptionTreeWithPreviewPanel$CustomBooleanOptionKey.java/[CN]/	com_intellij_application_options_codeStyle_OptionTreeWithPreviewPanel$BooleanOptionKey.java/[CN]/
com_intellij_application_options_codeStyle_OtherFileTypesCodeStyleOptionsForm.java/[CN]/	com_intellij_application_options_CodeStyleAbstractPanel.java/[CN]/
com_intellij_application_options_codeStyle_OtherFileTypesCodeStyleOptionsProvider$1.java/[CN]/	com_intellij_application_options_CodeStyleAbstractConfigurable.java/[CN]/
com_intellij_application_options_codeStyle_WrappingAndBracesPanel.java/[CN]/	com_intellij_application_options_codeStyle_OptionTableWithPreviewPanel.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_ArrangementSettingsPanel.java/[CN]/	com_intellij_application_options_CodeStyleAbstractPanel.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_action_AbstractMoveArrangementRuleAction.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_action_AbstractArrangementRuleAction.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_action_AddArrangementRuleAction.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_action_AbstractArrangementRuleAction.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_action_AddArrangementSectionRuleAction.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_action_AddArrangementRuleAction.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_action_EditArrangementRuleAction.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_action_AbstractArrangementRuleAction.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_action_MoveArrangementMatchingRuleDownAction.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_action_AbstractMoveArrangementRuleAction.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_action_MoveArrangementMatchingRuleUpAction.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_action_AbstractMoveArrangementRuleAction.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_action_RemoveArrangementRuleAction.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_action_AbstractArrangementRuleAction.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_action_tokens_AddArrangementAliasRuleAction.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_action_AddArrangementRuleAction.java/[CN]/
