com_intellij_FileSetTestCase$ActualTest.java/[CN]/	com_intellij_testFramework_LightPlatformTestCase.java/[CN]/
com_intellij_ide_actions_EditCustomVmOptionsAction.java/[CN]/	com_intellij_ide_actions_EditCustomSettingsAction.java/[CN]/
com_intellij_ide_actions_EditCustomVmOptionsAction$AccessExtension.java/[CN]/	com_intellij_openapi_fileEditor_impl_NonProjectFileWritingAccessExtension.java/[CN]/
com_intellij_ide_actions_EditSourceAction.java/[CN]/	com_intellij_ide_actions_BaseNavigateToSourceAction.java/[CN]/
com_intellij_ide_actions_ExportToTextFileToolbarAction.java/[CN]/	com_intellij_ide_actions_ExportToTextFileAction.java/[CN]/
com_intellij_ide_actions_GotoActionAction.java/[CN]/	com_intellij_ide_actions_GotoActionBase.java/[CN]/
com_intellij_ide_actions_GotoActionAction$1.java/[CN]/	com_intellij_ide_actions_GotoActionBase$GotoActionCallback.java/[CN]/
com_intellij_ide_actions_GotoActionAction$2.java/[CN]/	com_intellij_ide_util_gotoByName_ChooseByNamePopup.java/[CN]/
com_intellij_ide_actions_GotoActionAction$3.java/[CN]/	com_intellij_openapi_progress_util_ProgressWindow$Listener.java/[CN]/
com_intellij_ide_actions_GotoActionBase$3.java/[CN]/	com_intellij_ide_actions_GotoActionBase$1HistoryAction.java/[CN]/
com_intellij_ide_actions_GotoActionBase$4.java/[CN]/	com_intellij_ide_actions_GotoActionBase$1HistoryAction.java/[CN]/
com_intellij_ide_actions_GotoClassAction.java/[CN]/	com_intellij_ide_actions_GotoActionBase.java/[CN]/
com_intellij_ide_actions_GotoClassAction$1.java/[CN]/	com_intellij_ide_actions_GotoActionBase$GotoActionCallback.java/[CN]/
com_intellij_ide_actions_GotoFileAction.java/[CN]/	com_intellij_ide_actions_GotoActionBase.java/[CN]/
com_intellij_ide_actions_GotoFileAction$1.java/[CN]/	com_intellij_ide_actions_GotoActionBase$GotoActionCallback.java/[CN]/
com_intellij_ide_actions_GotoFileAction$GotoFileFilter.java/[CN]/	com_intellij_ide_util_gotoByName_ChooseByNameFilter.java/[CN]/
com_intellij_ide_actions_GotoFileItemProvider.java/[CN]/	com_intellij_ide_util_gotoByName_DefaultChooseByNameItemProvider.java/[CN]/
com_intellij_ide_actions_GotoSymbolAction.java/[CN]/	com_intellij_ide_actions_GotoActionBase.java/[CN]/
com_intellij_ide_actions_GotoSymbolAction$1.java/[CN]/	com_intellij_ide_actions_GotoActionBase$GotoActionCallback.java/[CN]/
com_intellij_ide_actions_ImportProjectAction.java/[CN]/	com_intellij_ide_actions_ImportModuleAction.java/[CN]/
com_intellij_ide_actions_JavaCreateTemplateInPackageAction.java/[CN]/	com_intellij_ide_actions_CreateTemplateInPackageAction.java/[CN]/
com_intellij_ide_actions_JavaQualifiedNameProvider.java/[CN]/	com_intellij_ide_actions_QualifiedNameProvider.java/[CN]/
com_intellij_ide_actions_MinimizeCurrentWindowAction.java/[CN]/	com_intellij_ide_actions_MacWindowActionBase.java/[CN]/
com_intellij_ide_actions_MoveTabDownAction.java/[CN]/	com_intellij_ide_actions_SplitAction.java/[CN]/
com_intellij_ide_actions_MoveTabRightAction.java/[CN]/	com_intellij_ide_actions_SplitAction.java/[CN]/
com_intellij_ide_actions_NewElementSamePlaceAction.java/[CN]/	com_intellij_ide_actions_NewElementAction.java/[CN]/
com_intellij_ide_actions_NewElementToolbarAction.java/[CN]/	com_intellij_ide_actions_NewElementAction.java/[CN]/
com_intellij_ide_actions_NextOccurenceAction.java/[CN]/	com_intellij_ide_actions_OccurenceNavigatorActionBase.java/[CN]/
com_intellij_ide_actions_NextOccurenceToolbarAction.java/[CN]/	com_intellij_ide_actions_NextOccurenceAction.java/[CN]/
com_intellij_ide_actions_NextTabAction.java/[CN]/	com_intellij_ide_actions_TabNavigationActionBase.java/[CN]/
com_intellij_ide_actions_OpenFileAction$ProjectOnlyFileChooserDescriptor.java/[CN]/	com_intellij_ide_actions_OpenProjectFileChooserDescriptor.java/[CN]/
com_intellij_ide_actions_OpenFileAction$ProjectOrFileChooserDescriptor.java/[CN]/	com_intellij_ide_actions_OpenProjectFileChooserDescriptor.java/[CN]/
com_intellij_ide_actions_OpenModuleSettingsAction.java/[CN]/	com_intellij_ide_actions_EditSourceAction.java/[CN]/
com_intellij_ide_actions_PinActiveTabAction$1.java/[CN]/	com_intellij_ide_actions_PinActiveTabAction$Handler.java/[CN]/
com_intellij_ide_actions_PinActiveTabAction$2.java/[CN]/	com_intellij_ide_actions_PinActiveTabAction$Handler.java/[CN]/
com_intellij_ide_actions_PinActiveTabAction$EW.java/[CN]/	com_intellij_ide_actions_PinActiveTabAction.java/[CN]/
com_intellij_ide_actions_PinActiveTabAction$TW.java/[CN]/	com_intellij_ide_actions_PinActiveTabAction.java/[CN]/
com_intellij_ide_actions_PreviousOccurenceAction.java/[CN]/	com_intellij_ide_actions_OccurenceNavigatorActionBase.java/[CN]/
com_intellij_ide_actions_PreviousOccurenceToolbarAction.java/[CN]/	com_intellij_ide_actions_PreviousOccurenceAction.java/[CN]/
com_intellij_ide_actions_PreviousTabAction.java/[CN]/	com_intellij_ide_actions_TabNavigationActionBase.java/[CN]/
com_intellij_ide_actions_RedoAction.java/[CN]/	com_intellij_ide_actions_UndoRedoAction.java/[CN]/
com_intellij_ide_actions_ResizeToolWindowAction$Down.java/[CN]/	com_intellij_ide_actions_ResizeToolWindowAction.java/[CN]/
com_intellij_ide_actions_ResizeToolWindowAction$Left.java/[CN]/	com_intellij_ide_actions_ResizeToolWindowAction.java/[CN]/
com_intellij_ide_actions_ResizeToolWindowAction$Right.java/[CN]/	com_intellij_ide_actions_ResizeToolWindowAction.java/[CN]/
com_intellij_ide_actions_ResizeToolWindowAction$Up.java/[CN]/	com_intellij_ide_actions_ResizeToolWindowAction.java/[CN]/
com_intellij_ide_actions_SaveFileAsTemplateDialog.java/[CN]/	com_intellij_openapi_options_ex_SingleConfigurableEditor.java/[CN]/
com_intellij_ide_actions_SearchEverywhereAction$CalcThread$1.java/[CN]/	com_intellij_execution_actions_ExecutorProvider.java/[CN]/
com_intellij_ide_actions_SearchEverywhereAction$CalcThread$2.java/[CN]/	com_intellij_execution_actions_ExecutorProvider.java/[CN]/
com_intellij_ide_actions_SearchEverywhereAction$CalcThread$4.java/[CN]/	com_intellij_ide_util_gotoByName_GotoActionModel.java/[CN]/
com_intellij_ide_actions_SearchEverywherePsiRenderer.java/[CN]/	com_intellij_ide_util_PsiElementListCellRenderer.java/[CN]/
com_intellij_ide_actions_SelectAllAction.java/[CN]/	com_intellij_openapi_editor_actions_TextComponentEditorAction.java/[CN]/
com_intellij_ide_actions_SelectInContextImpl$OpenFileDescriptorContext.java/[CN]/	com_intellij_ide_actions_SelectInContextImpl.java/[CN]/
com_intellij_ide_actions_SelectInContextImpl$SimpleSelectInContext.java/[CN]/	com_intellij_ide_actions_SelectInContextImpl.java/[CN]/
com_intellij_ide_actions_SelectInContextImpl$TextEditorContext.java/[CN]/	com_intellij_ide_actions_SelectInContextImpl.java/[CN]/
com_intellij_ide_actions_ShowStructureSettingsAction$1.java/[CN]/	com_intellij_openapi_options_ex_SingleConfigurableEditor.java/[CN]/
com_intellij_ide_actions_SplitHorizontallyAction.java/[CN]/	com_intellij_ide_actions_SplitAction.java/[CN]/
com_intellij_ide_actions_SplitVerticallyAction.java/[CN]/	com_intellij_ide_actions_SplitAction.java/[CN]/
com_intellij_ide_actions_Switcher$1.java/[CN]/	com_intellij_ide_IdeEventQueue$EventDispatcher.java/[CN]/
com_intellij_ide_actions_Switcher$2.java/[CN]/	com_intellij_ide_actions_Switcher$SwitcherPanel.java/[CN]/
com_intellij_ide_actions_Switcher$SwitcherPanel$3.java/[CN]/	com_intellij_ide_actions_SwitcherToolWindowsListRenderer.java/[CN]/
com_intellij_ide_actions_Switcher$SwitcherPanel$6.java/[CN]/	com_intellij_ide_actions_Switcher$VirtualFilesRenderer.java/[CN]/
com_intellij_ide_actions_Switcher$SwitcherPanel$SwitcherSpeedSearch.java/[CN]/	com_intellij_ui_SpeedSearchBase.java/[CN]/
com_intellij_ide_actions_TabsAddedToTheEndSwitcher.java/[CN]/	com_intellij_openapi_actionSystem_RegistryToggleAction.java/[CN]/
com_intellij_ide_actions_TabsPlacementAction$Bottom.java/[CN]/	com_intellij_ide_actions_TabsPlacementAction.java/[CN]/
com_intellij_ide_actions_TabsPlacementAction$Left.java/[CN]/	com_intellij_ide_actions_TabsPlacementAction.java/[CN]/
com_intellij_ide_actions_TabsPlacementAction$None.java/[CN]/	com_intellij_ide_actions_TabsPlacementAction.java/[CN]/
com_intellij_ide_actions_TabsPlacementAction$Right.java/[CN]/	com_intellij_ide_actions_TabsPlacementAction.java/[CN]/
com_intellij_ide_actions_TabsPlacementAction$Top.java/[CN]/	com_intellij_ide_actions_TabsPlacementAction.java/[CN]/
com_intellij_ide_actions_TemplateKindCombo$2.java/[CN]/	com_intellij_ui_ComboboxSpeedSearch.java/[CN]/
com_intellij_ide_actions_TemplateProjectStructureAction.java/[CN]/	com_intellij_ide_actions_ShowStructureSettingsAction.java/[CN]/
com_intellij_ide_actions_ToggleContentUiTypeAction.java/[CN]/	com_intellij_ide_actions_BaseToolWindowToggleAction.java/[CN]/
com_intellij_ide_actions_TogglePinnedModeAction.java/[CN]/	com_intellij_ide_actions_BaseToolWindowToggleAction.java/[CN]/
com_intellij_ide_actions_ToggleSideModeAction.java/[CN]/	com_intellij_ide_actions_BaseToolWindowToggleAction.java/[CN]/
com_intellij_ide_actions_UndoAction.java/[CN]/	com_intellij_ide_actions_UndoRedoAction.java/[CN]/
com_intellij_ide_actions_UnsplitAction.java/[CN]/	com_intellij_ide_actions_SplitterActionBase.java/[CN]/
com_intellij_ide_actions_UnsplitAllAction.java/[CN]/	com_intellij_ide_actions_SplitterActionBase.java/[CN]/
com_intellij_ide_actions_ViewSourceAction.java/[CN]/	com_intellij_ide_actions_BaseNavigateToSourceAction.java/[CN]/
com_intellij_ide_actions_WeighingNewActionGroup.java/[CN]/	com_intellij_ide_actions_WeighingActionGroup.java/[CN]/
com_intellij_ide_actions_WindowAction$BaseSizeAction.java/[CN]/	com_intellij_ide_actions_WindowAction.java/[CN]/
com_intellij_ide_actions_WindowAction$DecrementHeight.java/[CN]/	com_intellij_ide_actions_WindowAction$BaseSizeAction.java/[CN]/
com_intellij_ide_actions_WindowAction$DecrementWidth.java/[CN]/	com_intellij_ide_actions_WindowAction$BaseSizeAction.java/[CN]/
com_intellij_ide_actions_WindowAction$IncrementHeight.java/[CN]/	com_intellij_ide_actions_WindowAction$BaseSizeAction.java/[CN]/
com_intellij_ide_actions_WindowAction$IncrementWidth.java/[CN]/	com_intellij_ide_actions_WindowAction$BaseSizeAction.java/[CN]/
com_intellij_ide_actions_ZoomCurrentWindowAction.java/[CN]/	com_intellij_ide_actions_MacWindowActionBase.java/[CN]/
com_intellij_ide_actions_tree_CollapseTreeNodeAction.java/[CN]/	com_intellij_ide_actions_tree_BaseTreeNodeAction.java/[CN]/
com_intellij_ide_actions_tree_ExpandTreeNodeAction.java/[CN]/	com_intellij_ide_actions_tree_BaseTreeNodeAction.java/[CN]/
com_intellij_ide_actions_tree_FullyExpandTreeNodeAction.java/[CN]/	com_intellij_ide_actions_tree_BaseTreeNodeAction.java/[CN]/
com_intellij_ide_bookmarks_BookmarksFavoriteListProvider.java/[CN]/	com_intellij_ide_bookmarks_BookmarksListener.java/[CN]/
com_intellij_ide_bookmarks_BookmarksFavoriteListProvider.java/[CN]/	com_intellij_ide_favoritesTreeView_AbstractFavoritesListProvider.java/[CN]/
com_intellij_ide_bookmarks_actions_BookmarksAction.java/[CN]/	com_intellij_ui_popup_util_MasterDetailPopupBuilder$Delegate.java/[CN]/
com_intellij_ide_bookmarks_actions_BookmarksAction$2.java/[CN]/	com_intellij_ide_bookmarks_BookmarksListener.java/[CN]/
com_intellij_ide_bookmarks_actions_GoToMnemonicBookmarkActionBase$GotoBookmark0Action.java/[CN]/	com_intellij_ide_bookmarks_actions_GoToMnemonicBookmarkActionBase.java/[CN]/
com_intellij_ide_bookmarks_actions_GoToMnemonicBookmarkActionBase$GotoBookmark1Action.java/[CN]/	com_intellij_ide_bookmarks_actions_GoToMnemonicBookmarkActionBase.java/[CN]/
com_intellij_ide_bookmarks_actions_GoToMnemonicBookmarkActionBase$GotoBookmark2Action.java/[CN]/	com_intellij_ide_bookmarks_actions_GoToMnemonicBookmarkActionBase.java/[CN]/
com_intellij_ide_bookmarks_actions_GoToMnemonicBookmarkActionBase$GotoBookmark3Action.java/[CN]/	com_intellij_ide_bookmarks_actions_GoToMnemonicBookmarkActionBase.java/[CN]/
com_intellij_ide_bookmarks_actions_GoToMnemonicBookmarkActionBase$GotoBookmark4Action.java/[CN]/	com_intellij_ide_bookmarks_actions_GoToMnemonicBookmarkActionBase.java/[CN]/
com_intellij_ide_bookmarks_actions_GoToMnemonicBookmarkActionBase$GotoBookmark5Action.java/[CN]/	com_intellij_ide_bookmarks_actions_GoToMnemonicBookmarkActionBase.java/[CN]/
com_intellij_ide_bookmarks_actions_GoToMnemonicBookmarkActionBase$GotoBookmark6Action.java/[CN]/	com_intellij_ide_bookmarks_actions_GoToMnemonicBookmarkActionBase.java/[CN]/
com_intellij_ide_bookmarks_actions_GoToMnemonicBookmarkActionBase$GotoBookmark7Action.java/[CN]/	com_intellij_ide_bookmarks_actions_GoToMnemonicBookmarkActionBase.java/[CN]/
com_intellij_ide_bookmarks_actions_GoToMnemonicBookmarkActionBase$GotoBookmark8Action.java/[CN]/	com_intellij_ide_bookmarks_actions_GoToMnemonicBookmarkActionBase.java/[CN]/
com_intellij_ide_bookmarks_actions_GoToMnemonicBookmarkActionBase$GotoBookmark9Action.java/[CN]/	com_intellij_ide_bookmarks_actions_GoToMnemonicBookmarkActionBase.java/[CN]/
com_intellij_ide_bookmarks_actions_NextBookmarkAction.java/[CN]/	com_intellij_ide_bookmarks_actions_GotoBookmarkActionBase.java/[CN]/
com_intellij_ide_bookmarks_actions_PreviousBookmarkAction.java/[CN]/	com_intellij_ide_bookmarks_actions_GotoBookmarkActionBase.java/[CN]/
com_intellij_ide_bookmarks_actions_ToggleBookmarkAction.java/[CN]/	com_intellij_ide_bookmarks_actions_BookmarksAction.java/[CN]/
com_intellij_ide_bookmarks_actions_ToggleBookmarkWithMnemonicAction.java/[CN]/	com_intellij_ide_bookmarks_actions_ToggleBookmarkAction.java/[CN]/
com_intellij_ide_bookmarks_actions_ToggleBookmarkWithMnemonicAction$1.java/[CN]/	com_intellij_ide_bookmarks_actions_MnemonicChooser.java/[CN]/
com_intellij_ide_bookmarks_actions_ToggleNumberedBookmarkActionBase$ToggleBookmark0Action.java/[CN]/	com_intellij_ide_bookmarks_actions_ToggleNumberedBookmarkActionBase.java/[CN]/
com_intellij_ide_bookmarks_actions_ToggleNumberedBookmarkActionBase$ToggleBookmark1Action.java/[CN]/	com_intellij_ide_bookmarks_actions_ToggleNumberedBookmarkActionBase.java/[CN]/
com_intellij_ide_bookmarks_actions_ToggleNumberedBookmarkActionBase$ToggleBookmark2Action.java/[CN]/	com_intellij_ide_bookmarks_actions_ToggleNumberedBookmarkActionBase.java/[CN]/
com_intellij_ide_bookmarks_actions_ToggleNumberedBookmarkActionBase$ToggleBookmark3Action.java/[CN]/	com_intellij_ide_bookmarks_actions_ToggleNumberedBookmarkActionBase.java/[CN]/
com_intellij_ide_bookmarks_actions_ToggleNumberedBookmarkActionBase$ToggleBookmark4Action.java/[CN]/	com_intellij_ide_bookmarks_actions_ToggleNumberedBookmarkActionBase.java/[CN]/
com_intellij_ide_bookmarks_actions_ToggleNumberedBookmarkActionBase$ToggleBookmark5Action.java/[CN]/	com_intellij_ide_bookmarks_actions_ToggleNumberedBookmarkActionBase.java/[CN]/
com_intellij_ide_bookmarks_actions_ToggleNumberedBookmarkActionBase$ToggleBookmark6Action.java/[CN]/	com_intellij_ide_bookmarks_actions_ToggleNumberedBookmarkActionBase.java/[CN]/
com_intellij_ide_bookmarks_actions_ToggleNumberedBookmarkActionBase$ToggleBookmark7Action.java/[CN]/	com_intellij_ide_bookmarks_actions_ToggleNumberedBookmarkActionBase.java/[CN]/
com_intellij_ide_bookmarks_actions_ToggleNumberedBookmarkActionBase$ToggleBookmark8Action.java/[CN]/	com_intellij_ide_bookmarks_actions_ToggleNumberedBookmarkActionBase.java/[CN]/
com_intellij_ide_bookmarks_actions_ToggleNumberedBookmarkActionBase$ToggleBookmark9Action.java/[CN]/	com_intellij_ide_bookmarks_actions_ToggleNumberedBookmarkActionBase.java/[CN]/
com_intellij_ide_browsers_BrowserSettingsPanel$1.java/[CN]/	com_intellij_util_ui_table_TableModelEditor$EditableColumnInfo.java/[CN]/
com_intellij_ide_browsers_BrowserSettingsPanel$2.java/[CN]/	com_intellij_util_ui_table_TableModelEditor$EditableColumnInfo.java/[CN]/
com_intellij_ide_browsers_BrowserSettingsPanel$3.java/[CN]/	com_intellij_util_ui_table_TableModelEditor$EditableColumnInfo.java/[CN]/
com_intellij_ide_browsers_BrowserSettingsPanel$7.java/[CN]/	com_intellij_util_ui_table_TableModelEditor$DialogItemEditor.java/[CN]/
com_intellij_ide_browsers_BrowserSettingsPanel$8.java/[CN]/	com_intellij_util_ui_table_TableModelEditor$DataChangedListener.java/[CN]/
com_intellij_ide_browsers_OpenUrlHyperlinkInfo.java/[CN]/	com_intellij_execution_filters_HyperlinkWithPopupMenuInfo.java/[CN]/
com_intellij_ide_browsers_actions_BaseWebBrowserAction.java/[CN]/	com_intellij_ide_browsers_actions_BaseOpenInBrowserAction.java/[CN]/
com_intellij_ide_browsers_actions_OpenInBrowserBaseGroupAction.java/[CN]/	com_intellij_openapi_actionSystem_ComputableActionGroup.java/[CN]/
com_intellij_ide_browsers_actions_OpenInBrowserBaseGroupAction$OpenInBrowserEditorContextBarGroupAction.java/[CN]/	com_intellij_ide_browsers_actions_OpenInBrowserBaseGroupAction.java/[CN]/
com_intellij_ide_browsers_actions_OpenInBrowserBaseGroupAction$OpenInBrowserGroupAction.java/[CN]/	com_intellij_ide_browsers_actions_OpenInBrowserBaseGroupAction.java/[CN]/
com_intellij_ide_commander_CommanderPanel$1.java/[CN]/	com_intellij_ide_CopyPasteDelegator.java/[CN]/
com_intellij_ide_commander_CommanderPanel$MyModel.java/[CN]/	com_intellij_ide_commander_AbstractListBuilder$Model.java/[CN]/
com_intellij_ide_commander_ProjectListBuilder.java/[CN]/	com_intellij_ide_commander_AbstractListBuilder.java/[CN]/
com_intellij_ide_customize_CustomizeDesktopEntryStep.java/[CN]/	com_intellij_ide_customize_AbstractCustomizeWizardStep.java/[CN]/
com_intellij_ide_customize_CustomizeFeaturedPluginsStepPanel.java/[CN]/	com_intellij_ide_customize_AbstractCustomizeWizardStep.java/[CN]/
com_intellij_ide_customize_CustomizeFeaturedPluginsStepPanel$1.java/[CN]/	com_intellij_openapi_progress_util_AbstractProgressIndicatorExBase.java/[CN]/
com_intellij_ide_customize_CustomizeIdeaWizardStepsProvider.java/[CN]/	com_intellij_ide_customize_CustomizeIDEWizardStepsProvider.java/[CN]/
com_intellij_ide_customize_CustomizeLauncherScriptStep.java/[CN]/	com_intellij_ide_customize_AbstractCustomizeWizardStep.java/[CN]/
com_intellij_ide_customize_CustomizeMacKeyboardLayoutStep.java/[CN]/	com_intellij_ide_customize_AbstractCustomizeWizardStep.java/[CN]/
com_intellij_ide_customize_CustomizePluginsStepPanel.java/[CN]/	com_intellij_ide_customize_AbstractCustomizeWizardStep.java/[CN]/
com_intellij_ide_customize_CustomizePluginsStepPanel$1.java/[CN]/	com_intellij_ide_customize_CustomizePluginsStepPanel$TextProvider.java/[CN]/
com_intellij_ide_customize_CustomizePluginsStepPanel$7.java/[CN]/	com_intellij_ide_customize_CustomizePluginsStepPanel$TextProvider.java/[CN]/
com_intellij_ide_customize_CustomizeUIThemeStepPanel.java/[CN]/	com_intellij_ide_customize_AbstractCustomizeWizardStep.java/[CN]/
com_intellij_ide_diff_JarFileDiffElement.java/[CN]/	com_intellij_ide_diff_VirtualFileDiffElement.java/[CN]/
com_intellij_ide_dnd_Highlighters$AbstractComponentHighlighter.java/[CN]/	com_intellij_ide_dnd_DropTargetHighlighter.java/[CN]/
com_intellij_ide_dnd_Highlighters$BaseTextHighlighter.java/[CN]/	com_intellij_ide_dnd_DropTargetHighlighter.java/[CN]/
com_intellij_ide_dnd_Highlighters$ErrorTextHighlighter.java/[CN]/	com_intellij_ide_dnd_Highlighters$BaseTextHighlighter.java/[CN]/
com_intellij_ide_dnd_Highlighters$FilledRectangleHighlighter.java/[CN]/	com_intellij_ide_dnd_Highlighters$AbstractComponentHighlighter.java/[CN]/
com_intellij_ide_dnd_Highlighters$HorizontalLinesHighlighter.java/[CN]/	com_intellij_ide_dnd_Highlighters$AbstractComponentHighlighter.java/[CN]/
com_intellij_ide_dnd_Highlighters$RectangleHighlighter.java/[CN]/	com_intellij_ide_dnd_Highlighters$AbstractComponentHighlighter.java/[CN]/
com_intellij_ide_dnd_Highlighters$TextHighlighter.java/[CN]/	com_intellij_ide_dnd_Highlighters$BaseTextHighlighter.java/[CN]/
com_intellij_ide_dnd_Highlighters$VerticalLinesHighlighter.java/[CN]/	com_intellij_ide_dnd_Highlighters$AbstractComponentHighlighter.java/[CN]/
com_intellij_ide_dnd_TransferableWrapper.java/[CN]/	com_intellij_ide_dnd_FileFlavorProvider.java/[CN]/
com_intellij_ide_dnd_aware_DnDAwareTree$1$1.java/[CN]/	com_intellij_ide_dnd_TransferableList.java/[CN]/
com_intellij_ide_errorTreeView_ErrorViewStructure$MyNavigatableWithDataElement.java/[CN]/	com_intellij_ide_errorTreeView_NavigatableMessageElement.java/[CN]/
com_intellij_ide_errorTreeView_ErrorViewStructure$MyRootElement.java/[CN]/	com_intellij_ide_errorTreeView_ErrorTreeElement.java/[CN]/
com_intellij_ide_errorTreeView_FixedHotfixGroupElement.java/[CN]/	com_intellij_ide_errorTreeView_GroupingElement.java/[CN]/
com_intellij_ide_errorTreeView_GroupingElement.java/[CN]/	com_intellij_ide_errorTreeView_ErrorTreeElement.java/[CN]/
com_intellij_ide_errorTreeView_HotfixGroupElement.java/[CN]/	com_intellij_ide_errorTreeView_GroupingElement.java/[CN]/
com_intellij_ide_errorTreeView_NavigatableMessageElement.java/[CN]/	com_intellij_ide_errorTreeView_ErrorTreeElement.java/[CN]/
com_intellij_ide_errorTreeView_NewEditableErrorTreeViewPanel.java/[CN]/	com_intellij_ide_errorTreeView_NewErrorTreeViewPanel.java/[CN]/
com_intellij_ide_errorTreeView_NewErrorTreeRenderer.java/[CN]/	com_intellij_ui_MultilineTreeCellRenderer.java/[CN]/
com_intellij_ide_errorTreeView_NewErrorTreeRenderer$MyNotSelectedColoredTreeCellRenderer.java/[CN]/	com_intellij_openapi_vcs_changes_issueLinks_ClickableTreeCellRenderer.java/[CN]/
com_intellij_ide_errorTreeView_SimpleMessageElement.java/[CN]/	com_intellij_ide_errorTreeView_ErrorTreeElement.java/[CN]/
com_intellij_ide_errorTreeView_actions_TestNewErrorViewAction.java/[CN]/	com_intellij_ide_errorTreeView_actions_TestErrorViewAction.java/[CN]/
com_intellij_ide_extensionResources_ExtensionsRootType.java/[CN]/	com_intellij_ide_scratch_RootType.java/[CN]/
com_intellij_ide_externalComponents_ExternalComponentManagerImpl.java/[CN]/	com_intellij_ide_externalComponents_ExternalComponentManager.java/[CN]/
com_intellij_ide_favoritesTreeView_AbstractFavoritesListProvider.java/[CN]/	com_intellij_ide_favoritesTreeView_FavoritesListProvider.java/[CN]/
com_intellij_ide_favoritesTreeView_AbstractFavoritesListProvider$1.java/[CN]/	com_intellij_ide_favoritesTreeView_FavoritesListNode.java/[CN]/
com_intellij_ide_favoritesTreeView_AbstractUrlFavoriteAdapter.java/[CN]/	com_intellij_ide_projectView_impl_AbstractUrl.java/[CN]/
com_intellij_ide_favoritesTreeView_FavoritesComparator.java/[CN]/	com_intellij_ide_projectView_impl_GroupByTypeComparator.java/[CN]/
com_intellij_ide_favoritesTreeView_FavoritesProjectViewPane.java/[CN]/	com_intellij_ide_projectView_impl_AbstractProjectViewPane.java/[CN]/
com_intellij_ide_favoritesTreeView_FavoritesProjectViewPane$1.java/[CN]/	com_intellij_ide_favoritesTreeView_FavoritesListener.java/[CN]/
com_intellij_ide_favoritesTreeView_FavoritesTreeStructure.java/[CN]/	com_intellij_ide_projectView_impl_ProjectTreeStructure.java/[CN]/
com_intellij_ide_favoritesTreeView_FavoritesTreeViewPanel$2.java/[CN]/	com_intellij_ide_CopyPasteDelegator.java/[CN]/
com_intellij_ide_favoritesTreeView_FavoritesTreeViewPanel$4.java/[CN]/	com_intellij_ide_favoritesTreeView_FavoritesListener.java/[CN]/
com_intellij_ide_favoritesTreeView_FavoritesViewSelectInTarget.java/[CN]/	com_intellij_ide_impl_SelectInTargetPsiWrapper.java/[CN]/
com_intellij_ide_favoritesTreeView_FavoritesViewTreeBuilder.java/[CN]/	com_intellij_ide_projectView_BaseProjectTreeBuilder.java/[CN]/
com_intellij_ide_favoritesTreeView_FavoritesViewTreeBuilder$1.java/[CN]/	com_intellij_ide_projectView_ProjectViewPsiTreeChangeListener.java/[CN]/
com_intellij_ide_favoritesTreeView_FavoritesViewTreeBuilder$3.java/[CN]/	com_intellij_ide_favoritesTreeView_FavoritesListener.java/[CN]/
com_intellij_ide_favoritesTreeView_FileGroupingProjectNode.java/[CN]/	com_intellij_ide_favoritesTreeView_ProjectViewNodeWithChildrenList.java/[CN]/
com_intellij_ide_favoritesTreeView_FileSerializable.java/[CN]/	com_intellij_ide_favoritesTreeView_WorkingSetSerializable.java/[CN]/
com_intellij_ide_favoritesTreeView_InvalidUsageNoteProjectNode.java/[CN]/	com_intellij_ide_favoritesTreeView_ProjectViewNodeWithChildrenList.java/[CN]/
com_intellij_ide_favoritesTreeView_NoteProjectNode.java/[CN]/	com_intellij_ide_favoritesTreeView_ProjectViewNodeWithChildrenList.java/[CN]/
com_intellij_ide_favoritesTreeView_NoteSerializable.java/[CN]/	com_intellij_ide_favoritesTreeView_WorkingSetSerializable.java/[CN]/
com_intellij_ide_favoritesTreeView_TaskDefaultFavoriteListProvider.java/[CN]/	com_intellij_ide_favoritesTreeView_AbstractFavoritesListProvider.java/[CN]/
com_intellij_ide_favoritesTreeView_UsageProjectTreeNode.java/[CN]/	com_intellij_ide_favoritesTreeView_ProjectViewNodeWithChildrenList.java/[CN]/
com_intellij_ide_favoritesTreeView_UsageSerializable.java/[CN]/	com_intellij_ide_favoritesTreeView_WorkingSetSerializable.java/[CN]/
com_intellij_ide_favoritesTreeView_actions_FavoritesAbbreviatePackageNamesAction.java/[CN]/	com_intellij_ide_favoritesTreeView_actions_FavoritesToolbarButtonAction.java/[CN]/
com_intellij_ide_favoritesTreeView_actions_FavoritesAutoScrollToSourceAction.java/[CN]/	com_intellij_ide_favoritesTreeView_actions_FavoritesToolbarButtonAction.java/[CN]/
com_intellij_ide_favoritesTreeView_actions_FavoritesCompactEmptyMiddlePackagesAction.java/[CN]/	com_intellij_ide_favoritesTreeView_actions_FavoritesToolbarButtonAction.java/[CN]/
com_intellij_ide_favoritesTreeView_actions_FavoritesFlattenPackagesAction.java/[CN]/	com_intellij_ide_favoritesTreeView_actions_FavoritesToolbarButtonAction.java/[CN]/
com_intellij_ide_favoritesTreeView_actions_FavoritesShowMembersAction.java/[CN]/	com_intellij_ide_favoritesTreeView_actions_FavoritesToolbarButtonAction.java/[CN]/
com_intellij_ide_favoritesTreeView_smartPointerPsiNodes_ClassSmartPointerNode.java/[CN]/	com_intellij_ide_favoritesTreeView_smartPointerPsiNodes_BaseSmartPointerPsiNode.java/[CN]/
