org_jitsi_impl_neomedia_codec_EncodingConfigurationConfigImpl.java/[CN]/	org_jitsi_impl_neomedia_codec_EncodingConfigurationImpl.java/[CN]/
org_jitsi_impl_neomedia_codec_EncodingConfigurationImpl.java/[CN]/	org_jitsi_service_neomedia_codec_EncodingConfiguration.java/[CN]/
org_jitsi_impl_neomedia_codec_REDBlock.java/[CN]/	org_jitsi_service_neomedia_ByteArrayBuffer.java/[CN]/
org_jitsi_impl_neomedia_codec_SilenceEffect.java/[CN]/	org_jitsi_impl_neomedia_codec_AbstractCodec2.java/[CN]/
org_jitsi_impl_neomedia_codec_audio_AbstractFFmpegAudioCodec.java/[CN]/	org_jitsi_impl_neomedia_codec_AbstractCodec2.java/[CN]/
org_jitsi_impl_neomedia_codec_audio_FFmpegAudioDecoder.java/[CN]/	org_jitsi_impl_neomedia_codec_audio_AbstractFFmpegAudioCodec.java/[CN]/
org_jitsi_impl_neomedia_codec_audio_FFmpegAudioEncoder.java/[CN]/	org_jitsi_impl_neomedia_codec_audio_AbstractFFmpegAudioCodec.java/[CN]/
org_jitsi_impl_neomedia_codec_audio_amrwb_DePacketizer.java/[CN]/	org_jitsi_impl_neomedia_codec_AbstractCodec2.java/[CN]/
org_jitsi_impl_neomedia_codec_audio_amrwb_JNIDecoder.java/[CN]/	org_jitsi_impl_neomedia_codec_audio_FFmpegAudioDecoder.java/[CN]/
org_jitsi_impl_neomedia_codec_audio_amrwb_JNIEncoder.java/[CN]/	org_jitsi_impl_neomedia_codec_audio_FFmpegAudioEncoder.java/[CN]/
org_jitsi_impl_neomedia_codec_audio_amrwb_Packetizer.java/[CN]/	org_jitsi_impl_neomedia_codec_AbstractCodec2.java/[CN]/
org_jitsi_impl_neomedia_codec_audio_g722_JNIDecoderImpl.java/[CN]/	org_jitsi_impl_neomedia_codec_AbstractCodec2.java/[CN]/
org_jitsi_impl_neomedia_codec_audio_g722_JNIEncoderImpl.java/[CN]/	org_jitsi_impl_neomedia_codec_AbstractCodec2.java/[CN]/
org_jitsi_impl_neomedia_codec_audio_g729_CodLd8k.java/[CN]/	org_jitsi_impl_neomedia_codec_audio_g729_Ld8k.java/[CN]/
org_jitsi_impl_neomedia_codec_audio_g729_Coder.java/[CN]/	org_jitsi_impl_neomedia_codec_audio_g729_Ld8k.java/[CN]/
