Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.killbill.billing.payment.core.PaymentProcessor::findTransactionToCompleteAndRunSanityChecks(org.killbill.billing.payment.dao.PaymentModelDao, java.lang.Iterable<org.killbill.billing.payment.dao.PaymentTransactionModelDao>, org.killbill.billing.payment.core.sm.PaymentStateContext, org.killbill.billing.callcontext.InternalCallContext):org.killbill.billing.payment.dao.PaymentTransactionModelDao	org.killbill.billing.payment.core.sm.PaymentStateContext	0/3	
Move Method	org.killbill.billing.payment.core.PaymentProcessor::getPaymentTransactionInfoPlugins(org.killbill.billing.payment.plugin.api.PaymentPluginApi, org.killbill.billing.payment.dao.PaymentModelDao, java.lang.Iterable<org.killbill.billing.payment.api.PluginProperty>, org.killbill.billing.util.callcontext.TenantContext):java.util.List<org.killbill.billing.payment.plugin.api.PaymentTransactionInfoPlugin>	org.killbill.billing.payment.dao.PaymentModelDao	0/2	
Move Method	org.killbill.billing.payment.core.PaymentProcessor::buildPluginProperties(org.killbill.billing.payment.dao.PaymentAttemptModelDao):java.util.List<org.killbill.billing.payment.api.PluginProperty>	org.killbill.billing.payment.dao.PaymentAttemptModelDao	0/1	
Move Method	org.killbill.billing.payment.invoice.dao.InvoicePaymentControlDao::insertAutoPayOff(org.killbill.billing.payment.invoice.dao.PluginAutoPayOffModelDao):void	org.killbill.billing.payment.invoice.dao.PluginAutoPayOffModelDao	1/11	
Move Method	org.killbill.billing.payment.core.PaymentMethodProcessor::buildDefaultPaymentMethod(org.killbill.billing.payment.dao.PaymentMethodModelDao, boolean, java.lang.Iterable<org.killbill.billing.payment.api.PluginProperty>, org.killbill.billing.util.callcontext.TenantContext, org.killbill.billing.callcontext.InternalTenantContext):org.killbill.billing.payment.api.PaymentMethod	org.killbill.billing.payment.dao.PaymentMethodModelDao	1/3	
Move Method	org.killbill.billing.payment.core.sm.PaymentAutomatonRunner::runStateMachineOperation(java.lang.String, org.killbill.billing.payment.api.TransactionType, org.killbill.automaton.State.LeavingStateCallback, org.killbill.automaton.Operation.OperationCallback, org.killbill.automaton.State.EnteringStateCallback, java.lang.Boolean, org.killbill.billing.payment.core.sm.PaymentStateContext, org.killbill.billing.payment.core.sm.PaymentAutomatonDAOHelper):void	org.killbill.billing.payment.core.sm.PaymentStateMachineHelper	1/2	
Move Method	org.killbill.billing.payment.core.sm.PaymentAutomatonDAOHelper::buildNewPaymentTransactionModelDao(java.util.UUID):org.killbill.billing.payment.dao.PaymentTransactionModelDao	org.killbill.billing.payment.core.sm.PaymentStateContext	2/5	
Move Method	org.killbill.billing.payment.core.sm.PaymentAutomatonDAOHelper::buildNewPaymentModelDao():org.killbill.billing.payment.dao.PaymentModelDao	org.killbill.billing.payment.core.sm.PaymentStateContext	2/3	
Move Method	org.killbill.billing.payment.core.sm.control.DefaultControlCompleted::isUnknownTransaction():boolean	org.killbill.billing.payment.core.sm.control.PaymentStateControlContext	2/3	
