Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.gradle.model.internal.registry.DefaultModelRegistry.TryBindInputs::maybeBind(org.gradle.model.internal.registry.ModelBinding, java.util.Collection<org.gradle.model.internal.registry.DefaultModelRegistry.ModelGoal>):void	org.gradle.model.internal.registry.ModelBinding	0/2	
Move Method	org.gradle.model.internal.inspect.ModelRuleExtractor.DefaultExtractedRuleSource::mapInputs(java.util.List<org.gradle.model.internal.core.ModelReference<?>>, org.gradle.model.internal.core.ModelPath):void	org.gradle.model.internal.core.ModelPath	0/1	
Move Method	org.gradle.model.internal.inspect.StructNodeInitializer::addLink(org.gradle.model.internal.core.MutableModelNode, org.gradle.model.internal.core.ModelRegistrations.Builder, boolean):void	org.gradle.model.internal.core.ModelRegistrations.Builder	0/1	
Move Method	org.gradle.model.internal.manage.schema.extract.DefaultModelSchemaExtractor::pushUnsatisfiedDependencies(java.lang.Iterable<? extends org.gradle.model.internal.manage.schema.extract.DefaultModelSchemaExtractionContext<?>>, java.util.Queue<org.gradle.model.internal.manage.schema.extract.DefaultModelSchemaExtractionContext<?>>, org.gradle.model.internal.manage.schema.cache.ModelSchemaCache):void	org.gradle.model.internal.manage.schema.cache.ModelSchemaCache	0/1	
Move Method	org.gradle.model.internal.manage.schema.extract.StructSchemaExtractionStrategySupport::getNonPropertyMethods(org.gradle.model.internal.manage.schema.extract.CandidateMethods, java.util.List<org.gradle.model.internal.manage.schema.extract.ModelPropertyExtractionResult<?>>):java.util.Set<org.gradle.model.internal.method.WeaklyTypeReferencingMethod<?,?>>	org.gradle.model.internal.manage.schema.extract.CandidateMethods	0/1	
Move Method	org.gradle.model.internal.manage.schema.extract.StructSchemaExtractionStrategySupport::selectProperties(org.gradle.model.internal.manage.schema.extract.ModelSchemaExtractionContext<?>, org.gradle.model.internal.manage.schema.extract.CandidateMethods):java.lang.Iterable<org.gradle.model.internal.manage.schema.extract.ModelPropertyExtractionContext>	org.gradle.model.internal.manage.schema.extract.CandidateMethods	0/1	
Move Method	org.gradle.model.internal.registry.ModelGraph::maybeNotify(org.gradle.model.internal.registry.ModelNodeInternal, org.gradle.model.internal.registry.ModelListener):void	org.gradle.model.internal.registry.ModelNodeInternal	0/1	
Move Method	org.gradle.model.internal.registry.ModelGraph::maybeNotify(org.gradle.model.internal.registry.ModelNodeInternal, org.gradle.model.internal.registry.ModelListener):void	org.gradle.model.internal.registry.ModelListener	0/1	
Move Method	org.gradle.model.internal.type.ParameterizedTypeWrapper::hashCode(org.gradle.model.internal.type.TypeWrapper[], org.gradle.model.internal.type.ClassTypeWrapper, org.gradle.model.internal.type.TypeWrapper):int	org.gradle.model.internal.type.ClassTypeWrapper	0/1	
Move Method	org.gradle.model.internal.registry.UnboundRulesProcessor::toInputBuilder(org.gradle.model.internal.registry.ModelBinding):org.gradle.model.internal.report.unbound.UnboundRuleInput.Builder	org.gradle.model.internal.registry.ModelBinding	1/3	
