Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	water.bindings.H2oApi::predict(water.bindings.pojos.ModelMetricsListSchemaV3):water.bindings.pojos.ModelMetricsListSchemaV3	water.bindings.pojos.ModelMetricsListSchemaV3	1/14	
Move Method	water.bindings.H2oApi::predict_async(water.bindings.pojos.ModelMetricsListSchemaV3):water.bindings.pojos.JobV3	water.bindings.pojos.ModelMetricsListSchemaV3	1/14	
Move Method	water.bindings.H2oApi::guessParseSetup(water.bindings.pojos.ParseSetupV3):water.bindings.pojos.ParseSetupV3	water.bindings.pojos.ParseSetupV3	1/13	
Move Method	water.bindings.H2oApi::exportFrame(water.bindings.pojos.FramesV3):water.bindings.pojos.FramesV3	water.bindings.pojos.FramesV3	1/11	
Move Method	water.bindings.H2oApi::frameColumnSummary(water.bindings.pojos.FramesV3):water.bindings.pojos.FramesV3	water.bindings.pojos.FramesV3	1/11	
Move Method	water.bindings.H2oApi::frameColumnDomain(water.bindings.pojos.FramesV3):water.bindings.pojos.FramesV3	water.bindings.pojos.FramesV3	1/11	
Move Method	water.bindings.H2oApi::frameColumn(water.bindings.pojos.FramesV3):water.bindings.pojos.FramesV3	water.bindings.pojos.FramesV3	1/11	
Move Method	water.bindings.H2oApi::frameColumns(water.bindings.pojos.FramesV3):water.bindings.pojos.FramesV3	water.bindings.pojos.FramesV3	1/11	
Move Method	water.bindings.H2oApi::frameSummary(water.bindings.pojos.FramesV3):water.bindings.pojos.FramesV3	water.bindings.pojos.FramesV3	1/11	
Move Method	water.bindings.H2oApi::frame(water.bindings.pojos.FramesV3):water.bindings.pojos.FramesV3	water.bindings.pojos.FramesV3	1/11	
Move Method	water.bindings.H2oApi::frames(water.bindings.pojos.FramesV3):water.bindings.pojos.FramesV3	water.bindings.pojos.FramesV3	1/11	
Move Method	water.bindings.H2oApi::deleteFrame(water.bindings.pojos.FramesV3):water.bindings.pojos.FramesV3	water.bindings.pojos.FramesV3	1/11	
Move Method	water.bindings.H2oApi::deleteAllFrames(water.bindings.pojos.FramesV3):water.bindings.pojos.FramesV3	water.bindings.pojos.FramesV3	1/11	
Move Method	water.bindings.H2oApi::importSqlTable(water.bindings.pojos.ImportSQLTableV99):water.bindings.pojos.JobV3	water.bindings.pojos.ImportSQLTableV99	1/8	
Move Method	water.bindings.H2oApi::generateInteractions(water.bindings.pojos.InteractionV3):water.bindings.pojos.JobV3	water.bindings.pojos.InteractionV3	1/7	
Move Method	water.bindings.H2oApi::glm_regularization_path(water.bindings.pojos.GLMRegularizationPathV3):water.bindings.pojos.GLMRegularizationPathV3	water.bindings.pojos.GLMRegularizationPathV3	1/7	
Move Method	water.bindings.H2oApi::_tabulate_run(water.bindings.pojos.TabulateV3):water.bindings.pojos.TabulateV3	water.bindings.pojos.TabulateV3	1/6	
Move Method	water.bindings.H2oApi::endpoints(water.bindings.pojos.MetadataV3):water.bindings.pojos.MetadataV3	water.bindings.pojos.MetadataV3	1/6	
Move Method	water.bindings.H2oApi::endpoint(water.bindings.pojos.MetadataV3):water.bindings.pojos.MetadataV3	water.bindings.pojos.MetadataV3	1/6	
Move Method	water.bindings.H2oApi::schemaForClass(water.bindings.pojos.MetadataV3):water.bindings.pojos.MetadataV3	water.bindings.pojos.MetadataV3	1/6	
Move Method	water.bindings.H2oApi::schema(water.bindings.pojos.MetadataV3):water.bindings.pojos.MetadataV3	water.bindings.pojos.MetadataV3	1/6	
Move Method	water.bindings.H2oApi::schemas(water.bindings.pojos.MetadataV3):water.bindings.pojos.MetadataV3	water.bindings.pojos.MetadataV3	1/6	
Move Method	water.bindings.H2oApi::_dctTransformer_run(water.bindings.pojos.DCTTransformerV3):water.bindings.pojos.JobV3	water.bindings.pojos.DCTTransformerV3	1/5	
Move Method	water.bindings.H2oApi::findInFrame(water.bindings.pojos.FindV3):water.bindings.pojos.FindV3	water.bindings.pojos.FindV3	1/5	
Move Method	water.bindings.H2oApi::_assembly_toJava(water.bindings.pojos.AssemblyV99):water.bindings.pojos.AssemblyV99	water.bindings.pojos.AssemblyV99	1/5	
Move Method	water.bindings.H2oApi::_assembly_fit(water.bindings.pojos.AssemblyV99):water.bindings.pojos.AssemblyV99	water.bindings.pojos.AssemblyV99	1/5	
Move Method	water.bindings.H2oApi::make_glm_model(water.bindings.pojos.MakeGLMModelV3):water.bindings.pojos.GLMModelV3	water.bindings.pojos.MakeGLMModelV3	1/5	
Move Method	water.bindings.H2oApi::glm_datainfo_frame(water.bindings.pojos.DataInfoFrameV3):water.bindings.pojos.DataInfoFrameV3	water.bindings.pojos.DataInfoFrameV3	1/5	
Move Method	water.bindings.H2oApi::splitFrame(water.bindings.pojos.SplitFrameV3):water.bindings.pojos.SplitFrameV3	water.bindings.pojos.SplitFrameV3	1/4	
Move Method	water.bindings.H2oApi::_missingInserter_run(water.bindings.pojos.MissingInserterV3):water.bindings.pojos.JobV3	water.bindings.pojos.MissingInserterV3	1/4	
Move Method	water.bindings.H2oApi::model(water.bindings.pojos.ModelsV3):water.bindings.pojos.ModelsV3	water.bindings.pojos.ModelsV3	1/4	
Move Method	water.bindings.H2oApi::models(water.bindings.pojos.ModelsV3):water.bindings.pojos.ModelsV3	water.bindings.pojos.ModelsV3	1/4	
Move Method	water.bindings.H2oApi::deleteModel(water.bindings.pojos.ModelsV3):water.bindings.pojos.ModelsV3	water.bindings.pojos.ModelsV3	1/4	
Move Method	water.bindings.H2oApi::deleteAllModels(water.bindings.pojos.ModelsV3):water.bindings.pojos.ModelsV3	water.bindings.pojos.ModelsV3	1/4	
