Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	net.java.sip.communicator.impl.gui.main.contactlist.TreeContactList::isContactActive(net.java.sip.communicator.impl.gui.main.contactlist.UIContactImpl):boolean	net.java.sip.communicator.impl.gui.main.contactlist.UIContactImpl	0/1	
Move Method	net.java.sip.communicator.impl.gui.main.presence.GlobalStatusSelectorBox::setSystrayIcon(net.java.sip.communicator.service.protocol.PresenceStatus):void	net.java.sip.communicator.service.protocol.PresenceStatus	0/1	
Move Method	net.java.sip.communicator.impl.history.DBStructSerializer::createIDTag(org.w3c.dom.Document, net.java.sip.communicator.service.history.HistoryID):org.w3c.dom.Element	net.java.sip.communicator.service.history.HistoryID	0/1	
Move Method	net.java.sip.communicator.impl.history.HistoryServiceImpl::isSubHistory(java.lang.String[], net.java.sip.communicator.service.history.HistoryID):boolean	net.java.sip.communicator.service.history.HistoryID	0/1	
Move Method	net.java.sip.communicator.impl.protocol.icq.ServerStoredContactListIcqImpl::renameGroup(net.java.sip.communicator.impl.protocol.icq.ContactGroupIcqImpl, java.lang.String):void	net.java.sip.communicator.impl.protocol.icq.ContactGroupIcqImpl	0/1	
Move Method	net.java.sip.communicator.impl.protocol.jabber.extensions.colibri.ColibriBuilder::getColibriChannel(net.java.sip.communicator.impl.protocol.jabber.extensions.colibri.ColibriConferenceIQ, java.lang.String):net.java.sip.communicator.impl.protocol.jabber.extensions.colibri.ColibriConferenceIQ.ChannelCommon	net.java.sip.communicator.impl.protocol.jabber.extensions.colibri.ColibriConferenceIQ	0/1	
Move Method	net.java.sip.communicator.impl.protocol.jabber.extensions.colibri.ColibriBuilder::getRtpChannel(net.java.sip.communicator.impl.protocol.jabber.extensions.colibri.ColibriConferenceIQ, java.lang.String):net.java.sip.communicator.impl.protocol.jabber.extensions.colibri.ColibriConferenceIQ.Channel	net.java.sip.communicator.impl.protocol.jabber.extensions.colibri.ColibriConferenceIQ	0/1	
Move Method	net.java.sip.communicator.impl.protocol.sip.OperationSetAutoAnswerSipImpl::doesRequestContainsActiveVideoMediaType(net.java.sip.communicator.service.protocol.Call):boolean	net.java.sip.communicator.service.protocol.Call	0/1	
Move Method	net.java.sip.communicator.service.protocol.AbstractOperationSetBasicAutoAnswer::answerCall(net.java.sip.communicator.service.protocol.Call, boolean):void	net.java.sip.communicator.service.protocol.Call	0/1	
Move Method	net.java.sip.communicator.impl.protocol.jabber.extensions.colibri.ColibriAnalyser::processChannelAllocResp(net.java.sip.communicator.impl.protocol.jabber.extensions.colibri.ColibriConferenceIQ):void	net.java.sip.communicator.impl.protocol.jabber.extensions.colibri.ColibriConferenceIQ	1/8	
Move Method	net.java.sip.communicator.plugin.branding.WelcomeWindow::initLicenseArea(net.java.sip.communicator.plugin.branding.StyledHTMLEditorPane):void	net.java.sip.communicator.plugin.branding.StyledHTMLEditorPane	1/7	
