com.google.javascript.jscomp.JsMessageVisitor.maybeInitMetaDataFromJsDocOrHelpVar(com.google.javascript.jscomp.JsMessage.Builder, com.google.javascript.rhino.Node, com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.PeepholeRemoveDeadCode.getSimpleAssignmentName(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.PeepholeRemoveDeadCode.getConditionalStatementCondition(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.PerformanceTracker.estimateLines(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.RecoverableJsAst.replay(com.google.javascript.jscomp.AbstractCompiler, com.google.javascript.jscomp.JsAst.ParseResult);ParseResult
com.google.javascript.jscomp.RemoveSuperMethodsPass.RemoveSuperMethodsCallback.returnMatches(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.TypeTransformation.getFunctionParameter(com.google.javascript.rhino.Node, int);Node
com.google.javascript.jscomp.TypeTransformation.getFunctionBody(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.TypeTransformation.getCallName(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.TypeTransformation.getCallArgument(com.google.javascript.rhino.Node, int);Node
com.google.javascript.jscomp.TypeTransformation.getCallParamCount(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.TypeTransformation.getComputedPropValue(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.TypeTransformation.getComputedPropName(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.TypedScopeCreator.AbstractScopeBuilder.getPrototypeOwnerType(com.google.javascript.rhino.jstype.ObjectType);ObjectType
com.google.javascript.jscomp.parsing.IRFactory.TransformDispatcher.unsupportedLanguageFeature(com.google.javascript.jscomp.parsing.parser.trees.ParseTree, java.lang.String);IRFactory
com.google.javascript.jscomp.parsing.TypeTransformationParser.getFunctionParamCount(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.parsing.TypeTransformationParser.getFunctionBody(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.parsing.TypeTransformationParser.getCallName(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.parsing.TypeTransformationParser.getCallArgument(com.google.javascript.rhino.Node, int);Node
com.google.javascript.jscomp.parsing.TypeTransformationParser.getCallParamCount(com.google.javascript.rhino.Node);Node
com.google.javascript.refactoring.SuggestedFix.Builder.generateCode(com.google.javascript.jscomp.AbstractCompiler, com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.ConformanceRules.BanUnknownTypedClassPropsReferences.isInWhitelistedSyntheticFile(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.CrossModuleCodeMotion.isRecursiveDeclaration(com.google.javascript.jscomp.Var, com.google.javascript.rhino.Node);Var
com.google.javascript.jscomp.Es6ConvertSuperConstructorCalls.isDefinedInSources(com.google.javascript.jscomp.NodeTraversal, java.lang.String);NodeTraversal
com.google.javascript.jscomp.Es6ToEs3Converter.isGlobalSymbol(com.google.javascript.jscomp.NodeTraversal, com.google.javascript.rhino.Node);NodeTraversal
com.google.javascript.jscomp.Es6ToEs3Converter.isGlobalSymbol(com.google.javascript.jscomp.NodeTraversal, com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.InlineFunctions.verifyAllReferencesInlined(com.google.javascript.jscomp.InlineFunctions.FunctionState);FunctionState
com.google.javascript.jscomp.InlineObjectLiterals.InliningBehavior.fillInitialValues(com.google.javascript.jscomp.ReferenceCollectingCallback.Reference, java.util.Map<java.lang.String,com.google.javascript.rhino.Node>);Reference
com.google.javascript.jscomp.InlineProperties.GatherCandidates.inConstructor(com.google.javascript.jscomp.NodeTraversal);NodeTraversal
com.google.javascript.jscomp.InlineVariables.InliningBehavior.canMoveAggressively(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.J2clPass.NativeAliasInliner.getDeclaringNode(com.google.javascript.jscomp.NodeTraversal, com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.J2clPass.NativeAliasInliner.getDeclaringNode(com.google.javascript.jscomp.NodeTraversal, com.google.javascript.rhino.Node);NodeTraversal
com.google.javascript.jscomp.NameBasedDefinitionProvider.jsdocContainsDeclarations(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.PeepholeMinimizeConditions.areMatchingExits(com.google.javascript.rhino.Node, com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.PeepholeRemoveDeadCode.getSimpleAssignmentValue(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.PeepholeRemoveDeadCode.isConditionalStatement(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.SymbolTable.getReferences(com.google.javascript.jscomp.SymbolTable.Symbol);Symbol
com.google.javascript.jscomp.SymbolTable.getReferenceList(com.google.javascript.jscomp.SymbolTable.Symbol);Symbol
com.google.javascript.jscomp.SymbolTable.fillSymbolVisibility(com.google.javascript.jscomp.AbstractCompiler, com.google.javascript.rhino.Node, com.google.javascript.rhino.Node);AbstractCompiler
com.google.javascript.jscomp.lint.CheckInterfaces.isInterface(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.lint.CheckJSDocStyle.isConstructorWithoutParameters(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.parsing.IRFactory.normalizeRegex(com.google.javascript.jscomp.parsing.parser.LiteralToken);LiteralToken
com.google.javascript.refactoring.SuggestedFix.Builder.generateCode(com.google.javascript.jscomp.AbstractCompiler, com.google.javascript.rhino.Node);AbstractCompiler
com.google.javascript.rhino.jstype.CanCastToVisitor.canCastToFunction(com.google.javascript.rhino.jstype.JSType, com.google.javascript.rhino.jstype.FunctionType);FunctionType
