Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.springframework.web.reactive.result.method.annotation.AbstractNamedValueArgumentResolver::updateNamedValueInfo(org.springframework.core.MethodParameter, org.springframework.web.reactive.result.method.annotation.AbstractNamedValueArgumentResolver.NamedValueInfo):org.springframework.web.reactive.result.method.annotation.AbstractNamedValueArgumentResolver.NamedValueInfo	org.springframework.web.reactive.result.method.annotation.AbstractNamedValueArgumentResolver.NamedValueInfo	0/3	
Move Method	org.springframework.web.reactive.socket.adapter.NettyWebSocketSessionSupport::toFrame(org.springframework.web.reactive.socket.WebSocketMessage):io.netty.handler.codec.http.websocketx.WebSocketFrame	org.springframework.web.reactive.socket.WebSocketMessage	0/2	
Move Method	org.springframework.web.reactive.result.method.annotation.AbstractMessageReaderArgumentResolver::validate(java.lang.Object, java.lang.Object[], org.springframework.core.MethodParameter, org.springframework.web.reactive.BindingContext, org.springframework.web.server.ServerWebExchange):void	org.springframework.web.reactive.BindingContext	0/1	
Move Method	org.springframework.web.reactive.result.method.annotation.AbstractNamedValueArgumentResolver::applyConversion(java.lang.Object, org.springframework.web.reactive.result.method.annotation.AbstractNamedValueArgumentResolver.NamedValueInfo, org.springframework.core.MethodParameter, org.springframework.web.reactive.BindingContext, org.springframework.web.server.ServerWebExchange):java.lang.Object	org.springframework.web.reactive.BindingContext	0/1	
Move Method	org.springframework.web.reactive.result.method.annotation.AbstractNamedValueArgumentResolver::applyConversion(java.lang.Object, org.springframework.web.reactive.result.method.annotation.AbstractNamedValueArgumentResolver.NamedValueInfo, org.springframework.core.MethodParameter, org.springframework.web.reactive.BindingContext, org.springframework.web.server.ServerWebExchange):java.lang.Object	org.springframework.web.reactive.result.method.annotation.AbstractNamedValueArgumentResolver.NamedValueInfo	0/1	
Move Method	org.springframework.web.reactive.result.method.annotation.ModelInitializer::findModelAttributes(org.springframework.web.method.HandlerMethod, org.springframework.web.reactive.result.method.annotation.SessionAttributesHandler):java.util.List<java.lang.String>	org.springframework.web.reactive.result.method.annotation.SessionAttributesHandler	0/1	
Move Method	org.springframework.web.reactive.result.method.annotation.RequestMappingMessageConversionIntegrationTests.PersonTransformationController::transformPerson(org.springframework.web.reactive.result.method.annotation.RequestMappingMessageConversionIntegrationTests.Person):org.springframework.web.reactive.result.method.annotation.RequestMappingMessageConversionIntegrationTests.Person	org.springframework.web.reactive.result.method.annotation.RequestMappingMessageConversionIntegrationTests.Person	0/1	
Move Method	org.springframework.web.reactive.socket.client.StandardWebSocketClient::createHandshakeInfo(java.net.URI, org.springframework.web.reactive.socket.client.StandardWebSocketClient.DefaultConfigurator):org.springframework.web.reactive.socket.HandshakeInfo	org.springframework.web.reactive.socket.client.StandardWebSocketClient.DefaultConfigurator	0/1	
Move Method	org.springframework.web.reactive.socket.client.UndertowWebSocketClient::createHandshakeInfo(java.net.URI, org.springframework.web.reactive.socket.client.UndertowWebSocketClient.DefaultNegotiation):org.springframework.web.reactive.socket.HandshakeInfo	org.springframework.web.reactive.socket.client.UndertowWebSocketClient.DefaultNegotiation	0/1	
Move Method	org.springframework.web.reactive.result.HandlerResultHandlerSupport::getAdapter(org.springframework.web.reactive.HandlerResult):org.springframework.core.ReactiveAdapter	org.springframework.web.reactive.HandlerResult	1/2	
Move Method	org.springframework.web.reactive.result.view.ViewResolutionResultHandler::updateBindingResult(org.springframework.web.reactive.BindingContext, org.springframework.web.server.ServerWebExchange):void	org.springframework.web.reactive.BindingContext	1/2	
Move Method	org.springframework.web.reactive.protobuf.SecondMsg.Builder::mergeFrom(org.springframework.web.reactive.protobuf.SecondMsg):org.springframework.web.reactive.protobuf.SecondMsg.Builder	org.springframework.web.reactive.protobuf.SecondMsg	2/3	
