Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.drools.compiler.builder.impl.CompositeKnowledgeBuilderImpl::registerPackageDescr(org.drools.compiler.builder.impl.CompositeKnowledgeBuilderImpl.ResourceDescr, java.util.Map<java.lang.String,org.drools.compiler.lang.descr.CompositePackageDescr>, org.kie.api.io.Resource, org.drools.compiler.lang.descr.PackageDescr):void	org.drools.compiler.builder.impl.CompositeKnowledgeBuilderImpl.ResourceDescr	0/1	
Move Method	org.drools.compiler.builder.impl.KnowledgeBuilderImpl::loadAccumulateFunction(org.drools.compiler.compiler.PackageRegistry, java.lang.String, java.lang.String):org.kie.api.runtime.rule.AccumulateFunction	org.drools.compiler.compiler.PackageRegistry	0/1	
Move Method	org.drools.compiler.builder.impl.KnowledgeBuilderImpl::processEntryPointDeclarations(org.drools.compiler.compiler.PackageRegistry, org.drools.compiler.lang.descr.PackageDescr):void	org.drools.compiler.compiler.PackageRegistry	0/1	
Move Method	org.drools.compiler.builder.impl.KnowledgeBuilderImpl::preCompileAddFunction(org.drools.compiler.lang.descr.FunctionDescr, org.drools.compiler.compiler.PackageRegistry):void	org.drools.compiler.lang.descr.FunctionDescr	0/1	
Move Method	org.drools.compiler.builder.impl.KnowledgeBuilderImpl::inheritPackageAttributes(java.util.Map<java.lang.String,org.drools.compiler.lang.descr.AttributeDescr>, org.drools.compiler.lang.descr.RuleDescr):void	org.drools.compiler.lang.descr.RuleDescr	0/1	
Move Method	org.drools.compiler.builder.impl.TypeDeclarationBuilder::isDefinition(org.drools.compiler.lang.descr.AbstractClassTypeDeclarationDescr):boolean	org.drools.compiler.lang.descr.AbstractClassTypeDeclarationDescr	0/1	
Move Method	org.drools.compiler.builder.impl.TypeDeclarationConfigurator::finalize(org.drools.core.rule.TypeDeclaration, org.drools.compiler.lang.descr.AbstractClassTypeDeclarationDescr, org.drools.compiler.compiler.PackageRegistry, java.util.Map<java.lang.String,org.drools.compiler.compiler.PackageRegistry>, org.drools.compiler.builder.impl.ClassHierarchyManager):void	org.drools.compiler.builder.impl.ClassHierarchyManager	0/1	
Move Method	org.drools.compiler.builder.impl.TypeDeclarationConfigurator::finalize(org.drools.core.rule.TypeDeclaration, org.drools.compiler.lang.descr.AbstractClassTypeDeclarationDescr, org.drools.compiler.compiler.PackageRegistry, java.util.Map<java.lang.String,org.drools.compiler.compiler.PackageRegistry>, org.drools.compiler.builder.impl.ClassHierarchyManager):void	org.drools.compiler.compiler.PackageRegistry	0/1	
Move Method	org.drools.compiler.builder.impl.TypeDeclarationConfigurator::buildFieldAccessors(org.drools.core.rule.TypeDeclaration, org.drools.compiler.compiler.PackageRegistry):void	org.drools.compiler.compiler.PackageRegistry	0/1	
Move Method	org.drools.compiler.builder.impl.TypeDeclarationNameResolver::alreadyDefinedInPackage(java.lang.String, org.drools.compiler.lang.descr.AbstractClassTypeDeclarationDescr, org.drools.compiler.lang.descr.PackageDescr):boolean	org.drools.compiler.lang.descr.PackageDescr	0/1	
