Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.atmosphere.util.annotation.AnnotationDetector::hasCafebabe(org.atmosphere.util.annotation.ClassFileBuffer):boolean	org.atmosphere.util.annotation.ClassFileBuffer	0/2	
Move Method	org.atmosphere.util.uri.UriTemplate::createUriPattern(org.atmosphere.util.uri.UriTemplateParser):org.atmosphere.util.uri.UriPattern	org.atmosphere.util.uri.UriTemplateParser	0/2	
Move Method	org.atmosphere.lifecycle.LifecycleHandler::notifyIdleListener(org.atmosphere.cpr.DefaultBroadcaster):void	org.atmosphere.cpr.DefaultBroadcaster	0/1	
Move Method	org.atmosphere.lifecycle.LifecycleHandler::notifyDestroyListener(org.atmosphere.cpr.DefaultBroadcaster):void	org.atmosphere.cpr.DefaultBroadcaster	0/1	
Move Method	org.atmosphere.lifecycle.LifecycleHandler::notifyEmptyListener(org.atmosphere.cpr.DefaultBroadcaster):void	org.atmosphere.cpr.DefaultBroadcaster	0/1	
Move Method	org.atmosphere.cpr.AsynchronousProcessor::invokeAtmosphereHandler(org.atmosphere.cpr.AtmosphereResourceImpl):void	org.atmosphere.cpr.AtmosphereResourceImpl	1/7	
Move Method	org.atmosphere.cpr.DefaultBroadcaster::executeBlockingWrite(org.atmosphere.cpr.AtmosphereResource, org.atmosphere.cpr.Deliver, java.util.concurrent.atomic.AtomicInteger):void	org.atmosphere.cpr.Deliver	1/4	
Move Method	org.atmosphere.cpr.WebSocketProcessorFactory::createProcessor(org.atmosphere.cpr.AtmosphereFramework):org.atmosphere.websocket.WebSocketProcessor	org.atmosphere.cpr.AtmosphereFramework	1/3	
Move Method	org.atmosphere.websocket.DefaultWebSocketProcessor::finish(org.atmosphere.websocket.WebSocket, org.atmosphere.cpr.AtmosphereResource, org.atmosphere.cpr.AtmosphereRequest, org.atmosphere.cpr.AtmosphereResponse, boolean):void	org.atmosphere.websocket.WebSocket	1/2	
