Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.broadleafcommerce.openadmin.server.dao.provider.metadata.AdvancedCollectionFieldMetadataProvider::canHandleFieldForTypeMetadata(org.broadleafcommerce.openadmin.server.dao.provider.metadata.request.AddMetadataFromFieldTypeRequest, java.util.Map<java.lang.String,org.broadleafcommerce.openadmin.dto.FieldMetadata>):boolean	org.broadleafcommerce.openadmin.server.dao.provider.metadata.request.AddMetadataFromFieldTypeRequest	0/1	
Move Method	org.broadleafcommerce.openadmin.server.dao.provider.metadata.BasicFieldMetadataProvider::canHandleFieldForConfiguredMetadata(org.broadleafcommerce.openadmin.server.dao.provider.metadata.request.AddMetadataRequest, java.util.Map<java.lang.String,org.broadleafcommerce.openadmin.dto.FieldMetadata>):boolean	org.broadleafcommerce.openadmin.server.dao.provider.metadata.request.AddMetadataRequest	0/1	
Move Method	org.broadleafcommerce.openadmin.server.dao.provider.metadata.BasicFieldMetadataProvider::canHandleAnnotationOverride(org.broadleafcommerce.openadmin.server.dao.provider.metadata.request.OverrideViaAnnotationRequest, java.util.Map<java.lang.String,org.broadleafcommerce.openadmin.dto.FieldMetadata>):boolean	org.broadleafcommerce.openadmin.server.dao.provider.metadata.request.OverrideViaAnnotationRequest	0/1	
Move Method	org.broadleafcommerce.openadmin.server.dao.provider.metadata.CollectionFieldMetadataProvider::canHandleFieldForConfiguredMetadata(org.broadleafcommerce.openadmin.server.dao.provider.metadata.request.AddMetadataRequest, java.util.Map<java.lang.String,org.broadleafcommerce.openadmin.dto.FieldMetadata>):boolean	org.broadleafcommerce.openadmin.server.dao.provider.metadata.request.AddMetadataRequest	0/1	
Move Method	org.broadleafcommerce.openadmin.server.dao.provider.metadata.CollectionFieldMetadataProvider::canHandleAnnotationOverride(org.broadleafcommerce.openadmin.server.dao.provider.metadata.request.OverrideViaAnnotationRequest, java.util.Map<java.lang.String,org.broadleafcommerce.openadmin.dto.FieldMetadata>):boolean	org.broadleafcommerce.openadmin.server.dao.provider.metadata.request.OverrideViaAnnotationRequest	0/1	
Move Method	org.broadleafcommerce.openadmin.server.dao.provider.metadata.MapFieldMetadataProvider::canHandleFieldForConfiguredMetadata(org.broadleafcommerce.openadmin.server.dao.provider.metadata.request.AddMetadataRequest, java.util.Map<java.lang.String,org.broadleafcommerce.openadmin.dto.FieldMetadata>):boolean	org.broadleafcommerce.openadmin.server.dao.provider.metadata.request.AddMetadataRequest	0/1	
Move Method	org.broadleafcommerce.openadmin.server.dao.provider.metadata.MapFieldMetadataProvider::canHandleAnnotationOverride(org.broadleafcommerce.openadmin.server.dao.provider.metadata.request.OverrideViaAnnotationRequest, java.util.Map<java.lang.String,org.broadleafcommerce.openadmin.dto.FieldMetadata>):boolean	org.broadleafcommerce.openadmin.server.dao.provider.metadata.request.OverrideViaAnnotationRequest	0/1	
Move Method	org.broadleafcommerce.openadmin.server.dao.provider.metadata.MapFieldsFieldMetadataProvider::canHandleFieldForTypeMetadata(org.broadleafcommerce.openadmin.server.dao.provider.metadata.request.AddMetadataFromFieldTypeRequest, java.util.Map<java.lang.String,org.broadleafcommerce.openadmin.dto.FieldMetadata>):boolean	org.broadleafcommerce.openadmin.server.dao.provider.metadata.request.AddMetadataFromFieldTypeRequest	0/1	
Move Method	org.broadleafcommerce.openadmin.server.service.AdminEntityServiceImpl::getPropertiesFromEntityForm(org.broadleafcommerce.openadmin.web.form.entity.EntityForm):java.util.List<org.broadleafcommerce.openadmin.dto.Property>	org.broadleafcommerce.openadmin.web.form.entity.EntityForm	0/1	
Move Method	org.broadleafcommerce.openadmin.server.service.handler.CustomPersistenceHandlerAdapter::getResultSet(org.broadleafcommerce.openadmin.dto.PersistencePackage, org.broadleafcommerce.openadmin.server.service.persistence.module.InspectHelper, java.util.Map<java.lang.String,org.broadleafcommerce.openadmin.dto.FieldMetadata>):org.broadleafcommerce.openadmin.dto.DynamicResultSet	org.broadleafcommerce.openadmin.dto.PersistencePackage	0/1	
