Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.apache.flink.optimizer.postpass.GenericFlatTypePostPass::getConflictingTypeErrorMessage(org.apache.flink.optimizer.postpass.ConflictingFieldTypeInfoException, java.lang.String):java.lang.String	org.apache.flink.optimizer.postpass.ConflictingFieldTypeInfoException	0/3	
Move Method	org.apache.flink.optimizer.traversals.BinaryUnionReplacer::collect(org.apache.flink.optimizer.plan.Channel, java.util.List<org.apache.flink.optimizer.plan.Channel>):void	org.apache.flink.optimizer.plan.Channel	0/3	
Move Method	org.apache.flink.optimizer.postpass.GenericFlatTypePostPass::addSchemaToSchema(T, T, org.apache.flink.optimizer.dag.OptimizerNode, int):void	org.apache.flink.optimizer.dag.OptimizerNode	0/1	
Move Method	org.apache.flink.optimizer.plantranslate.JobGraphGenerator::addLocalInfoFromChannelToConfig(org.apache.flink.optimizer.plan.Channel, org.apache.flink.runtime.operators.util.TaskConfig, int, boolean):void	org.apache.flink.optimizer.plan.Channel	1/7	
Move Method	org.apache.flink.optimizer.plantranslate.JobGraphGenerator::createDataSourceVertex(org.apache.flink.optimizer.plan.SourcePlanNode):org.apache.flink.runtime.jobgraph.InputFormatVertex	org.apache.flink.optimizer.plan.SourcePlanNode	1/3	
Move Method	org.apache.flink.optimizer.dataproperties.RequestedGlobalProperties::checkCompatiblePartitioningFields(org.apache.flink.optimizer.dataproperties.GlobalProperties):boolean	org.apache.flink.optimizer.dataproperties.GlobalProperties	1/2	
Move Method	org.apache.flink.optimizer.plantranslate.JobGraphGenerator::createDualInputVertex(org.apache.flink.optimizer.plan.DualInputPlanNode):org.apache.flink.runtime.jobgraph.JobVertex	org.apache.flink.optimizer.plan.DualInputPlanNode	2/7	
Move Method	org.apache.flink.optimizer.dataproperties.RequestedLocalProperties::isMetBy(org.apache.flink.optimizer.dataproperties.LocalProperties):boolean	org.apache.flink.optimizer.dataproperties.LocalProperties	2/3	
