Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.apache.hive.hplsql.Expression::execCursorAttribute(org.apache.hive.hplsql.HplsqlParser.Expr_cursor_attributeContext):void	org.apache.hive.hplsql.HplsqlParser.Expr_cursor_attributeContext	2/4	
Move Method	org.apache.hive.hplsql.Expression::operatorCompare(org.apache.hive.hplsql.HplsqlParser.Bool_expr_binaryContext, org.apache.hive.hplsql.HplsqlParser.Bool_expr_binary_operatorContext):void	org.apache.hive.hplsql.HplsqlParser.Bool_expr_binary_operatorContext	2/4	
Move Method	org.apache.hive.hplsql.Expression::execSearchedCaseSql(org.apache.hive.hplsql.HplsqlParser.Expr_case_searchedContext):void	org.apache.hive.hplsql.HplsqlParser.Expr_case_searchedContext	2/4	
Move Method	org.apache.hive.hplsql.Select::from(org.apache.hive.hplsql.HplsqlParser.From_clauseContext):java.lang.Integer	org.apache.hive.hplsql.HplsqlParser.From_clauseContext	2/4	
Move Method	org.apache.hive.hplsql.Stmt::createTableDefinition(org.apache.hive.hplsql.HplsqlParser.Create_table_definitionContext, org.antlr.v4.runtime.Token):java.lang.String	org.apache.hive.hplsql.HplsqlParser.Create_table_definitionContext	2/4	
Move Method	org.apache.hive.hplsql.Stmt::resignal(org.apache.hive.hplsql.HplsqlParser.Resignal_stmtContext):java.lang.Integer	org.apache.hive.hplsql.Exec	2/4	
Move Method	org.apache.hive.hplsql.Expression::execSimpleCaseSql(org.apache.hive.hplsql.HplsqlParser.Expr_case_simpleContext):void	org.apache.hive.hplsql.HplsqlParser.Expr_case_simpleContext	2/3	
Move Method	org.apache.hive.hplsql.Select::selectList(org.apache.hive.hplsql.HplsqlParser.Select_listContext):java.lang.Integer	org.apache.hive.hplsql.HplsqlParser.Select_listContext	2/3	
Move Method	org.apache.hive.hplsql.Stmt::declareTemporaryTable(org.apache.hive.hplsql.HplsqlParser.Declare_temporary_table_itemContext):java.lang.Integer	org.apache.hive.hplsql.HplsqlParser.Declare_temporary_table_itemContext	2/3	
Move Method	org.apache.hive.hplsql.Stmt::createLocalTemporaryTable(org.apache.hive.hplsql.HplsqlParser.Create_local_temp_table_stmtContext):java.lang.Integer	org.apache.hive.hplsql.HplsqlParser.Create_local_temp_table_stmtContext	2/3	
Move Method	org.apache.hive.hplsql.Udf::setParameters(org.apache.hadoop.hive.ql.udf.generic.GenericUDF.DeferredObject[]):void	org.apache.hive.hplsql.Exec	2/3	
