com_jwetherell_openmap_common_MGRSPoint.java/[CN]/	com_jwetherell_openmap_common_ZonedUTMPoint.java/[CN]/
net_osmand_plus_notifications_GpxNotification.java/[CN]/	net_osmand_plus_notifications_OsmandNotification.java/[CN]/
net_osmand_plus_dashboard_DashRecentsFragment.java/[CN]/	net_osmand_plus_dashboard_DashLocationFragment.java/[CN]/
net_osmand_plus_dashboard_DashDashboardOrDrawerFragment.java/[CN]/	net_osmand_plus_dashboard_DashBaseFragment.java/[CN]/
net_osmand_plus_dashboard_DashNavigationFragment.java/[CN]/	net_osmand_plus_dashboard_DashBaseFragment.java/[CN]/
net_osmand_plus_dashboard_DashFavoritesFragment.java/[CN]/	net_osmand_plus_dashboard_DashLocationFragment.java/[CN]/
net_osmand_plus_dashboard_DashPluginsFragment.java/[CN]/	net_osmand_plus_dashboard_DashBaseFragment.java/[CN]/
net_osmand_plus_dashboard_DashErrorFragment.java/[CN]/	net_osmand_plus_dashboard_DashBaseFragment.java/[CN]/
net_osmand_plus_dashboard_DashLocationFragment.java/[CN]/	net_osmand_plus_dashboard_DashBaseFragment.java/[CN]/
net_osmand_plus_dashboard_DashRateUsFragment.java/[CN]/	net_osmand_plus_dashboard_DashBaseFragment.java/[CN]/
net_osmand_plus_dashboard_DashWaypointsFragment.java/[CN]/	net_osmand_plus_dashboard_DashLocationFragment.java/[CN]/
net_osmand_plus_dashboard_DashSearchFragment.java/[CN]/	net_osmand_plus_dashboard_DashBaseFragment.java/[CN]/
net_osmand_plus_skimapsplugin_SkiMapsPlugin.java/[CN]/	net_osmand_plus_OsmandPlugin.java/[CN]/
net_osmand_plus_render_MapVectorLayer.java/[CN]/	net_osmand_plus_views_BaseMapLayer.java/[CN]/
net_osmand_plus_render_NativeOsmandLibrary.java/[CN]/	net_osmand_NativeLibrary.java/[CN]/
net_osmand_plus_search_QuickSearchListFragment.java/[CN]/	net_osmand_plus_base_OsmAndListFragment.java/[CN]/
net_osmand_plus_search_QuickSearchMoreListItem.java/[CN]/	net_osmand_plus_search_QuickSearchListItem.java/[CN]/
net_osmand_plus_search_QuickSearchSelectAllListItem.java/[CN]/	net_osmand_plus_search_QuickSearchListItem.java/[CN]/
net_osmand_plus_rastermaps_SettingsRasterMapsActivity.java/[CN]/	net_osmand_plus_activities_SettingsBaseActivity.java/[CN]/
net_osmand_plus_rastermaps_OsmandRasterMapsPlugin.java/[CN]/	net_osmand_plus_OsmandPlugin.java/[CN]/
net_osmand_plus_distancecalculator_DistanceCalculatorPlugin.java/[CN]/	net_osmand_plus_OsmandPlugin.java/[CN]/
net_osmand_plus_voice_MediaCommandPlayerImpl.java/[CN]/	net_osmand_plus_voice_AbstractPrologCommandPlayer.java/[CN]/
net_osmand_plus_voice_TTSCommandPlayerImpl.java/[CN]/	net_osmand_plus_voice_AbstractPrologCommandPlayer.java/[CN]/
