org_jivesoftware_openfire_crowd_CrowdGroupProvider.java/[CN]/	org_jivesoftware_openfire_group_AbstractGroupProvider.java/[CN]/
org_jivesoftware_openfire_PresenceRouter.java/[CN]/	org_jivesoftware_openfire_container_BasicModule.java/[CN]/
org_jivesoftware_openfire_OfflineMessageStrategy.java/[CN]/	org_jivesoftware_openfire_container_BasicModule.java/[CN]/
org_jivesoftware_openfire_muc_cluster_OccupantLeftEvent.java/[CN]/	org_jivesoftware_openfire_muc_cluster_MUCRoomTask.java/[CN]/
org_jivesoftware_openfire_muc_cluster_AddAffiliation.java/[CN]/	org_jivesoftware_openfire_muc_cluster_MUCRoomTask.java/[CN]/
org_jivesoftware_openfire_muc_cluster_OccupantAddedEvent.java/[CN]/	org_jivesoftware_openfire_muc_cluster_MUCRoomTask.java/[CN]/
org_jivesoftware_openfire_muc_cluster_UpdateOccupantRequest.java/[CN]/	org_jivesoftware_openfire_muc_cluster_MUCRoomTask.java/[CN]/
org_jivesoftware_openfire_muc_cluster_UpdateOccupant.java/[CN]/	org_jivesoftware_openfire_muc_cluster_MUCRoomTask.java/[CN]/
org_jivesoftware_openfire_muc_cluster_ChangeNickname.java/[CN]/	org_jivesoftware_openfire_muc_cluster_MUCRoomTask.java/[CN]/
org_jivesoftware_openfire_muc_cluster_RoomUpdatedEvent.java/[CN]/	org_jivesoftware_openfire_muc_cluster_MUCRoomTask.java/[CN]/
org_jivesoftware_openfire_muc_cluster_AddMember.java/[CN]/	org_jivesoftware_openfire_muc_cluster_MUCRoomTask.java/[CN]/
org_jivesoftware_openfire_muc_cluster_DestroyRoomRequest.java/[CN]/	org_jivesoftware_openfire_muc_cluster_MUCRoomTask.java/[CN]/
org_jivesoftware_openfire_muc_cluster_UpdatePresence.java/[CN]/	org_jivesoftware_openfire_muc_cluster_MUCRoomTask.java/[CN]/
org_jivesoftware_openfire_muc_cluster_BroadcastMessageRequest.java/[CN]/	org_jivesoftware_openfire_muc_cluster_MUCRoomTask.java/[CN]/
org_jivesoftware_openfire_muc_cluster_BroadcastPresenceRequest.java/[CN]/	org_jivesoftware_openfire_muc_cluster_MUCRoomTask.java/[CN]/
org_jivesoftware_openfire_muc_MultiUserChatManager.java/[CN]/	org_jivesoftware_openfire_container_BasicModule.java/[CN]/
