edu_stanford_nlp_dcoref_ACEMentionExtractor.java/[CN]/ACEMentionExtractor/[FE]/aceReader	edu_stanford_nlp_ie_machinereading_domains_ace_AceReader.java/[CN]/
edu_stanford_nlp_dcoref_Document.java/[CN]/Document/[FE]/conllDoc	edu_stanford_nlp_dcoref_Document.java/[CN]/
edu_stanford_nlp_dcoref_Document.java/[CN]/Document/[FE]/incompatibles	edu_stanford_nlp_util_TwoDimensionalSet.java/[CN]/
edu_stanford_nlp_dcoref_Document.java/[CN]/Document/[FE]/incompatibleClusters	edu_stanford_nlp_util_TwoDimensionalSet.java/[CN]/
edu_stanford_nlp_dcoref_Document.java/[CN]/Document/[FE]/acronymCache	edu_stanford_nlp_util_TwoDimensionalMap.java/[CN]/
edu_stanford_nlp_dcoref_CoNLLMentionExtractor.java/[CN]/CoNLLMentionExtractor/[FE]/reader	edu_stanford_nlp_dcoref_CoNLL2011DocumentReader.java/[CN]/
edu_stanford_nlp_dcoref_CoNLLMentionExtractor.java/[CN]/CoNLLMentionExtractor/[FE]/treeLemmatizer	edu_stanford_nlp_trees_TreeLemmatizer.java/[CN]/
edu_stanford_nlp_trees_GenerateTrees.java/[CN]/GenerateTrees/[FE]/tf	edu_stanford_nlp_trees_LabeledScoredTreeFactory.java/[CN]/
edu_stanford_nlp_trees_GenerateTrees.java/[CN]/GenerateTrees/[FE]/compiler	edu_stanford_nlp_trees_tregex_TregexPatternCompiler.java/[CN]/
edu_stanford_nlp_trees_GenerateTrees.java/[CN]/GenerateTrees/[FE]/tp	edu_stanford_nlp_trees_TreePrint.java/[CN]/
edu_stanford_nlp_trees_CompositeTreebank.java/[CN]/CompositeTreebank/[FE]/t1	edu_stanford_nlp_trees_Treebank.java/[CN]/
edu_stanford_nlp_trees_CompositeTreebank.java/[CN]/CompositeTreebank/[FE]/t2	edu_stanford_nlp_trees_Treebank.java/[CN]/
edu_stanford_nlp_trees_TypedDependency.java/[CN]/TypedDependency/[FE]/reln	edu_stanford_nlp_trees_GrammaticalRelation.java/[CN]/
edu_stanford_nlp_trees_TypedDependency.java/[CN]/TypedDependency/[FE]/gov	edu_stanford_nlp_ling_IndexedWord.java/[CN]/
edu_stanford_nlp_trees_TypedDependency.java/[CN]/TypedDependency/[FE]/dep	edu_stanford_nlp_ling_IndexedWord.java/[CN]/
edu_stanford_nlp_trees_DateTreeTransformer.java/[CN]/DateTreeTransformer/[FE]/tregexMonthYear	edu_stanford_nlp_trees_tregex_TregexPattern.java/[CN]/
edu_stanford_nlp_trees_DateTreeTransformer.java/[CN]/DateTreeTransformer/[FE]/tregexMonthDayYear	edu_stanford_nlp_trees_tregex_TregexPattern.java/[CN]/
edu_stanford_nlp_trees_DependencyTreeTransformer.java/[CN]/DependencyTreeTransformer/[FE]/matchPattern	edu_stanford_nlp_trees_tregex_TregexPattern.java/[CN]/
edu_stanford_nlp_trees_DependencyTreeTransformer.java/[CN]/DependencyTreeTransformer/[FE]/operation	edu_stanford_nlp_trees_tregex_tsurgeon_TsurgeonPattern.java/[CN]/
edu_stanford_nlp_trees_DeepTree.java/[CN]/DeepTree/[FE]/tree	edu_stanford_nlp_trees_Tree.java/[CN]/
edu_stanford_nlp_trees_UniversalSemanticHeadFinder.java/[CN]/UniversalSemanticHeadFinder/[FE]/noVerbOverTempTregex	edu_stanford_nlp_trees_tregex_TregexPattern.java/[CN]/
edu_stanford_nlp_trees_TransformingTreebank.java/[CN]/TransformingTreebank/[FE]/tb	edu_stanford_nlp_trees_Treebank.java/[CN]/
edu_stanford_nlp_trees_SemanticHeadFinder.java/[CN]/SemanticHeadFinder/[FE]/noVerbOverTempTregex	edu_stanford_nlp_trees_tregex_TregexPattern.java/[CN]/
edu_stanford_nlp_trees_CoordinationTransformer.java/[CN]/CoordinationTransformer/[FE]/rearrangeNowThatTregex	edu_stanford_nlp_trees_tregex_TregexPattern.java/[CN]/
