org_dom4j_io_XMPPPacketReader.java/[CN]/XMPPPacketReader/[FE]/xppParser	org_jivesoftware_openfire_net_MXParser.java/[CN]/
org_jivesoftware_openfire_crowd_CrowdAuthProvider.java/[CN]/CrowdAuthProvider/[FE]/manager	org_jivesoftware_openfire_crowd_CrowdManager.java/[CN]/
org_jivesoftware_openfire_crowd_CrowdGroupProvider.java/[CN]/CrowdGroupProvider/[FE]/manager	org_jivesoftware_openfire_crowd_CrowdManager.java/[CN]/
org_jivesoftware_openfire_crowd_CrowdGroupProvider.java/[CN]/CrowdGroupProvider/[FE]/server	org_jivesoftware_openfire_XMPPServer.java/[CN]/
org_jivesoftware_openfire_PresenceRouter.java/[CN]/PresenceRouter/[FE]/updateHandler	org_jivesoftware_openfire_handler_PresenceUpdateHandler.java/[CN]/
org_jivesoftware_openfire_PresenceRouter.java/[CN]/PresenceRouter/[FE]/subscribeHandler	org_jivesoftware_openfire_handler_PresenceSubscribeHandler.java/[CN]/
org_jivesoftware_openfire_PresenceRouter.java/[CN]/PresenceRouter/[FE]/entityCapsManager	org_jivesoftware_openfire_entitycaps_EntityCapabilitiesManager.java/[CN]/
org_jivesoftware_openfire_OfflineMessageStrategy.java/[CN]/OfflineMessageStrategy/[FE]/messageStore	org_jivesoftware_openfire_OfflineMessageStore.java/[CN]/
org_jivesoftware_openfire_muc_cluster_QueuedTasksManager.java/[CN]/QueuedTasksManager/[FE]/instance	org_jivesoftware_openfire_muc_cluster_QueuedTasksManager.java/[CN]/
org_jivesoftware_openfire_muc_cluster_OccupantAddedEvent.java/[CN]/OccupantAddedEvent/[FE]/nodeID	org_jivesoftware_openfire_cluster_NodeID.java/[CN]/
org_jivesoftware_openfire_muc_cluster_RoomUpdatedEvent.java/[CN]/RoomUpdatedEvent/[FE]/room	org_jivesoftware_openfire_muc_spi_LocalMUCRoom.java/[CN]/
org_jivesoftware_openfire_muc_cluster_RoomRemovedEvent.java/[CN]/RoomRemovedEvent/[FE]/room	org_jivesoftware_openfire_muc_spi_LocalMUCRoom.java/[CN]/
org_jivesoftware_openfire_muc_cluster_RoomAvailableEvent.java/[CN]/RoomAvailableEvent/[FE]/room	org_jivesoftware_openfire_muc_spi_LocalMUCRoom.java/[CN]/
