CommitId;RefactoringType;RefactoringDetail
0b34f587ee5e19c24b29a9c3e26374607ff05e8f;Move Method;Move Method	public mostrarQuadroDeCargos(qc QuadroDeCargosVO) : void from class br.mil.eb.cds.sisdot.qc.util.QuadroDeCargosUtil to public mostrarQuadroDeCargos(qc QuadroDeCargosVO) : void from class br.mil.eb.cds.sisdot.qc.modelo.vo.qc.FracaoQcVO
e01df8764a238f58a9ba4ad35bed446943584844;Pull Up Method;Pull Up Method	private geraTerceiraLinhaCabecalho(tableHeader PdfPTable) : void from class br.mil.eb.cds.sisdot.relatorio.helper.QDMPDFRelatorio to protected geraTerceiraLinhaCabecalho(tableHeader PdfPTable, produto String) : void from class br.mil.eb.cds.sisdot.relatorio.helper.PDFRelatorioAbstrato
e01df8764a238f58a9ba4ad35bed446943584844;Pull Up Method;Pull Up Method	private geraQuartaLinhaCabecalho(nomeFracao String, tableHeader PdfPTable) : void from class br.mil.eb.cds.sisdot.relatorio.helper.QDMPDFRelatorio to protected geraQuartaLinhaCabecalho(nomeFracao String, tableHeader PdfPTable) : void from class br.mil.eb.cds.sisdot.relatorio.helper.PDFRelatorioAbstrato
e01df8764a238f58a9ba4ad35bed446943584844;Pull Up Method;Pull Up Method	private geraQuintaLinhaCabecalho(codigo Long, controle String, nomeResponsavel String, tableHeader PdfPTable) : void from class br.mil.eb.cds.sisdot.relatorio.helper.QDMPDFRelatorio to protected geraQuintaLinhaCabecalho(prefixoCodigo String, codigo Long, controle String, nomeResponsavel String, tableHeader PdfPTable) : void from class br.mil.eb.cds.sisdot.relatorio.helper.PDFRelatorioAbstrato
e01df8764a238f58a9ba4ad35bed446943584844;Pull Up Method;Pull Up Method	private geraSextaLinhaCabecalho(tableHeader PdfPTable) : void from class br.mil.eb.cds.sisdot.relatorio.helper.QDMPDFRelatorio to protected geraSextaLinhaCabecalho(tableHeader PdfPTable) : void from class br.mil.eb.cds.sisdot.relatorio.helper.PDFRelatorioAbstrato
e01df8764a238f58a9ba4ad35bed446943584844;Pull Up Method;Pull Up Method	private geraSetimaLinhaCabecalho(portaria String, boletim String, tableHeader PdfPTable) : void from class br.mil.eb.cds.sisdot.relatorio.helper.QDMPDFRelatorio to protected geraSetimaLinhaCabecalho(portaria String, boletim String, tableHeader PdfPTable) : void from class br.mil.eb.cds.sisdot.relatorio.helper.PDFRelatorioAbstrato
e01df8764a238f58a9ba4ad35bed446943584844;Pull Up Method;Pull Up Method	private geraOitavaLinhaCabecalho(tableHeader PdfPTable) : void from class br.mil.eb.cds.sisdot.relatorio.helper.QDMPDFRelatorio to protected geraOitavaLinhaCabecalho(tableHeader PdfPTable) : void from class br.mil.eb.cds.sisdot.relatorio.helper.PDFRelatorioAbstrato
e01df8764a238f58a9ba4ad35bed446943584844;Pull Up Method;Pull Up Method	private criarCelulaImage() : PdfPCell from class br.mil.eb.cds.sisdot.relatorio.helper.QDMPDFRelatorio to private criarCelulaImage() : PdfPCell from class br.mil.eb.cds.sisdot.relatorio.helper.PDFRelatorioAbstrato
479d7a32a8a621e5069b6bd44f1229e710d1d517;Extract Superclass;Extract Superclass	br.mil.eb.cds.sisdot.relatorio.helper.PDFRelatorioAbstrato from classes [br.mil.eb.cds.sisdot.relatorio.helper.QDMPDFRelatorio]
479d7a32a8a621e5069b6bd44f1229e710d1d517;Pull Up Method;Pull Up Method	private nc(texto String, bold boolean) : PdfPCell from class br.mil.eb.cds.sisdot.relatorio.helper.QDMPDFRelatorio to protected nc(texto String, bold boolean) : PdfPCell from class br.mil.eb.cds.sisdot.relatorio.helper.PDFRelatorioAbstrato
479d7a32a8a621e5069b6bd44f1229e710d1d517;Pull Up Method;Pull Up Method	private nc(texto String, bold boolean, c char) : PdfPCell from class br.mil.eb.cds.sisdot.relatorio.helper.QDMPDFRelatorio to protected nc(texto String, bold boolean, c char) : PdfPCell from class br.mil.eb.cds.sisdot.relatorio.helper.PDFRelatorioAbstrato
479d7a32a8a621e5069b6bd44f1229e710d1d517;Pull Up Method;Pull Up Method	private nc(texto String, bold boolean, c char, background BaseColor) : PdfPCell from class br.mil.eb.cds.sisdot.relatorio.helper.QDMPDFRelatorio to protected nc(texto String, bold boolean, c char, background BaseColor) : PdfPCell from class br.mil.eb.cds.sisdot.relatorio.helper.PDFRelatorioAbstrato
479d7a32a8a621e5069b6bd44f1229e710d1d517;Pull Up Method;Pull Up Method	private nc(texto String, bold boolean, c char, background BaseColor, foreground BaseColor, tamanho int) : PdfPCell from class br.mil.eb.cds.sisdot.relatorio.helper.QDMPDFRelatorio to protected nc(texto String, bold boolean, c char, background BaseColor, foreground BaseColor, tamanho int) : PdfPCell from class br.mil.eb.cds.sisdot.relatorio.helper.PDFRelatorioAbstrato
479d7a32a8a621e5069b6bd44f1229e710d1d517;Pull Up Method;Pull Up Method	private setAlignment(c char, cell PdfPCell) : void from class br.mil.eb.cds.sisdot.relatorio.helper.QDMPDFRelatorio to protected setAlignment(c char, cell PdfPCell) : void from class br.mil.eb.cds.sisdot.relatorio.helper.PDFRelatorioAbstrato
a1b490b0a80faa61e307ff97273ed9b6fcd1fa01;Extract Variable;Extract Variable	celulaCodot : XSSFCell in method private geraTituloModulos(vo QDMPRelatorioVO, wb XSSFWorkbook) : void from class br.mil.eb.cds.sisdot.relatorio.helper.QDMPExcelRelatorio
a1b490b0a80faa61e307ff97273ed9b6fcd1fa01;Extract Variable;Extract Variable	celulaDescricao : XSSFCell in method private geraTituloModulos(vo QDMPRelatorioVO, wb XSSFWorkbook) : void from class br.mil.eb.cds.sisdot.relatorio.helper.QDMPExcelRelatorio
a1b490b0a80faa61e307ff97273ed9b6fcd1fa01;Extract Variable;Extract Variable	celulaCodom : XSSFCell in method private geraTituloModulos(vo QDMPRelatorioVO, wb XSSFWorkbook) : void from class br.mil.eb.cds.sisdot.relatorio.helper.QDMPExcelRelatorio
6197ae1a33e82fbf083e2e16f0aeddb8692b5961;Extract Method;Extract Method	public criarFragmento(qcp QuadroDeCargosPrevistoVO, qdm QuadroDotacaoMaterial, considerarSupressoes boolean) : QuadroDotacaoMaterialPrevistoFragmento extracted from public criarFragmento(qcp QuadroDeCargosPrevistoVO, qdm QuadroDotacaoMaterial) : QuadroDotacaoMaterialPrevistoFragmento in class br.mil.eb.cds.sisdot.qdmp.modelo.QuadroDotacaoMaterialPrevistoHelper
33a4acde6c09460442712e2f0f95b52db2b70607;Rename Method;Rename Method	public criarRelatorioHelper(qdmp QuadroDotacaoMaterialPrevisto) : QDMPRelatorioVO renamed to public criarQDMPRelatorioVO(qdmp QuadroDotacaoMaterialPrevisto) : QDMPRelatorioVO in class br.mil.eb.cds.sisdot.relatorio.servico.QDMPRelatorioServicoImpl
104567d46473e3da550ffb12340c4f35c716964d;Extract Method;Extract Method	private gerarQDM(idQc Long) : void extracted from public testQDMP() : void in class br.mil.eb.cds.sisdot.qdmp.QdmpIT
c7d03b78ff5b3ff63fc2f88307874ef257c27e8e;Rename Method;Rename Method	private geraCabecalho(vo QDMPRelatorioVO, wb XSSFWorkbook) : void renamed to private geraTituloModulos(vo QDMPRelatorioVO, wb XSSFWorkbook) : void in class br.mil.eb.cds.sisdot.relatorio.helper.QDMPExcelRelatorio
c7d03b78ff5b3ff63fc2f88307874ef257c27e8e;Pull Up Attribute;Pull Up Attribute	private LOGO_PATH : String from class br.mil.eb.cds.sisdot.relatorio.helper.QDMExcelRelatorio to class br.mil.eb.cds.sisdot.relatorio.helper.ExcelRelatorioAbstrato
c7d03b78ff5b3ff63fc2f88307874ef257c27e8e;Pull Up Method;Pull Up Method	private geraCabecalho(vo QDMRelatorioVO, wb XSSFWorkbook, sheet int) : void from class br.mil.eb.cds.sisdot.relatorio.helper.QDMExcelRelatorio to protected geraCabecalho(vo QuadroDotacaoVO, wb XSSFWorkbook, sheet int) : void from class br.mil.eb.cds.sisdot.relatorio.helper.ExcelRelatorioAbstrato
c7d03b78ff5b3ff63fc2f88307874ef257c27e8e;Pull Up Method;Pull Up Method	private defineImagemEME(wb XSSFWorkbook, sheet int) : void from class br.mil.eb.cds.sisdot.relatorio.helper.QDMExcelRelatorio to protected defineImagemEME(wb XSSFWorkbook, sheet int) : void from class br.mil.eb.cds.sisdot.relatorio.helper.ExcelRelatorioAbstrato
c7d03b78ff5b3ff63fc2f88307874ef257c27e8e;Pull Up Method;Pull Up Method	private defineLinhaEstadoMaior(vo QDMRelatorioVO, wb XSSFWorkbook, sheet int) : void from class br.mil.eb.cds.sisdot.relatorio.helper.QDMExcelRelatorio to protected defineLinhaEstadoMaior(wb XSSFWorkbook, sheet int) : void from class br.mil.eb.cds.sisdot.relatorio.helper.ExcelRelatorioAbstrato
c7d03b78ff5b3ff63fc2f88307874ef257c27e8e;Pull Up Method;Pull Up Method	private defineLinhaComNomeFracao(vo QDMRelatorioVO, wb XSSFWorkbook, sheet int) : void from class br.mil.eb.cds.sisdot.relatorio.helper.QDMExcelRelatorio to private defineLinhaComNomeFracao(nome String, wb XSSFWorkbook, sheet int) : void from class br.mil.eb.cds.sisdot.relatorio.helper.ExcelRelatorioAbstrato
c7d03b78ff5b3ff63fc2f88307874ef257c27e8e;Pull Up Method;Pull Up Method	private defineLinhasDoCabecalho(wb XSSFWorkbook, sheet int) : void from class br.mil.eb.cds.sisdot.relatorio.helper.QDMExcelRelatorio to protected defineLinhasDoCabecalho(wb XSSFWorkbook, sheet int) : void from class br.mil.eb.cds.sisdot.relatorio.helper.ExcelRelatorioAbstrato
3d4d783e656c5fb4c0b9428b046af1ddb14fb50d;Rename Variable;Rename Variable	idc : Long to idClasse : Long in method private geraDetalhes(vo QDMPRelatorioVO, wb XSSFWorkbook) : void in class br.mil.eb.cds.sisdot.relatorio.helper.QDMPExcelRelatorio
557fd0fa9589f9c3cbfb5c9946295cd0cad3c4d0;Extract Superclass;Extract Superclass	br.mil.eb.cds.sisdot.relatorio.helper.ExcelRelatorioAbstrato from classes [br.mil.eb.cds.sisdot.relatorio.helper.QDMExcelRelatorio]
557fd0fa9589f9c3cbfb5c9946295cd0cad3c4d0;Pull Up Method;Pull Up Method	private configurarCelula(wb XSSFWorkbook, color XSSFColor, bold boolean, border boolean, alignment char) : XSSFCellStyle from class br.mil.eb.cds.sisdot.relatorio.helper.QDMExcelRelatorio to protected configurarCelula(wb XSSFWorkbook, color XSSFColor, bold boolean, border boolean, alignment char) : XSSFCellStyle from class br.mil.eb.cds.sisdot.relatorio.helper.ExcelRelatorioAbstrato
