CommitId;RefactoringType;RefactoringDetail
8c757828984a49f49feb7cb2a4c75d1aaaa20ce0;Rename Method;Rename Method	public buscarPorIdentidadeAnoSemestre(identidadeMilitar String, ano int, semestre int) : TempoServico renamed to public buscarTSPorIdentidadeAnoSemestre(identidadeMilitar String, ano int, semestre int) : TempoServico in class br.mil.eb.cds.sisbol.boletim.repositorio.AlteracaoRepositorioJPA
8c757828984a49f49feb7cb2a4c75d1aaaa20ce0;Rename Method;Rename Method	public buscarPorIdentidadeAnoSemestre(identidadeMilitar String, ano int, semestre int) : TempoServico renamed to public buscarAlteracaoPorIdentidadeAnoSemestre(identidadeMilitar String, ano int, semestre int) : Alteracao in class br.mil.eb.cds.sisbol.boletim.servico.AlteracaoServico
8c757828984a49f49feb7cb2a4c75d1aaaa20ce0;Rename Method;Rename Method	public buscarPorIdentidadeAnoSemestre(identidadeMilitar String, ano int, semestre int) : TempoServico renamed to public buscarAlteracaoPorIdentidadeAnoSemestre(identidadeMilitar String, ano int, semestre int) : Alteracao in class br.mil.eb.cds.sisbol.boletim.resources.AlteracaoResource
5c95e262ff4cb13c1e8399d158faf19a48c0cde0;Extract Method;Extract Method	private desassociarNotas(boletim Boletim, novoIdNotas List<Long>) : void extracted from public associaNota(idBoletim Long, idNotas List<Long>) : Boletim in class br.mil.eb.cds.sisbol.boletim.servico.BoletimServico
5c95e262ff4cb13c1e8399d158faf19a48c0cde0;Extract Method;Extract Method	private associarNotas(boletim Boletim, idNotas List<Long>) : void extracted from public associaNota(idBoletim Long, idNotas List<Long>) : Boletim in class br.mil.eb.cds.sisbol.boletim.servico.BoletimServico
5c95e262ff4cb13c1e8399d158faf19a48c0cde0;Extract Method;Extract Method	private recuperarWorkflowCorrespondente(nota Nota) : Workflow extracted from public salvar(nota Nota) : Nota in class br.mil.eb.cds.sisbol.boletim.servico.NotaServico
c5e8bc93c5b6281fabc41e87d4a63a88ae7e62a5;Rename Method;Rename Method	public desassociarABoletim(boletim Boletim, nota Nota) : Boletim renamed to public desassociarNota(boletim Boletim, nota Nota) : Boletim in class br.mil.eb.cds.sisbol.boletim.servico.BoletimServico
c5e8bc93c5b6281fabc41e87d4a63a88ae7e62a5;Extract Variable;Extract Variable	quantidadeNosWorkflow : Integer in method public tramitaNota(id Long, passoDesejado Integer, comentario String, identidadeMilitar String) : StatusNotaEnum from class br.mil.eb.cds.sisbol.boletim.servico.NotaServico
c5e8bc93c5b6281fabc41e87d4a63a88ae7e62a5;Rename Variable;Rename Variable	nos : List<NoWorkflow> to nosWorkflow : List<NoWorkflow> in method public tramitaNota(id Long, passoDesejado Integer, comentario String, identidadeMilitar String) : StatusNotaEnum in class br.mil.eb.cds.sisbol.boletim.servico.NotaServico
e3bd1bfb52dd187392f2f4940b3614ed40a306e7;Rename Parameter;Rename Parameter	idNota : Long to id : Long in method public tramitaNota(id Long, passoDesejado Integer, comentario String, identidadeMilitar String) : StatusNotaEnum in class br.mil.eb.cds.sisbol.boletim.servico.NotaServico
e3bd1bfb52dd187392f2f4940b3614ed40a306e7;Move Method;Move Method	public salvarHistorico(nota Nota, acao StatusHistoricoEnum) : void from class br.mil.eb.cds.sisbol.boletim.servico.NotaServico to public salvarHistorico(nota Nota, acao StatusHistoricoEnum) : void from class br.mil.eb.cds.sisbol.boletim.repositorio.NotaRepositorioJPA
fa923a5ad0679a54b3ad42e213a6f511c48f2e46;Extract Method;Extract Method	public associarNota(boletim Boletim, nota Nota) : Boletim extracted from public associaNota(idBoletim Long, idNotas List<Long>) : Boletim in class br.mil.eb.cds.sisbol.boletim.servico.BoletimServico
